"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000168702",0.708333333333333,8.99625468164794,-8.28792134831461,0.0136800410777134,FALSE,6.0882245564941e-18,1.07779839323615e-13,"LRP1B","LDL receptor related protein 1B"
"ENSG00000269964",0,0.299625468164794,-0.299625468164794,0.00650186591163131,FALSE,1.46296754594547e-17,1.29494572329363e-13,"MEI4","meiotic double-stranded break formation protein 4"
"ENSG00000165072",2.41666666666667,15.9625468164794,-13.5458801498127,0.0133567009745157,FALSE,1.0744718899351e-16,6.34045862250703e-13,"MAMDC2","MAM domain containing 2"
"ENSG00000182774",1.20833333333333,45.7752808988764,-44.5669475655431,0.0092886307034646,FALSE,1.73251668403672e-16,7.6676857143755e-13,"RPS17","ribosomal protein S17"
"ENSG00000183760",0.916666666666667,18.5056179775281,-17.5889513108614,0.0125100705266083,FALSE,2.2656387670938e-16,8.0217206187723e-13,"ACP7","acid phosphatase 7, tartrate resistant (putative)"
"ENSG00000162753",0.166666666666667,3.73408239700375,-3.56741573033708,0.00932484116451684,FALSE,6.03298793714069e-16,1.78003309085336e-12,"SLC9C2","solute carrier family 9 member C2 (putative)"
"ENSG00000169282",3.54166666666667,17.1498127340824,-13.6081460674157,0.0118826711680898,FALSE,1.3545796020874e-15,3.42573181367903e-12,"KCNAB1","potassium voltage-gated channel subfamily A regulatory beta subunit 1"
"ENSG00000167771",0.375,7.62921348314607,-7.25421348314607,0.0123908245369771,FALSE,1.8281950563125e-15,4.04556713523752e-12,"RCOR2","REST corepressor 2"
"ENSG00000082482",0,0.254681647940075,-0.254681647940075,0.012063972297699,FALSE,2.07744347936881e-15,4.08633132391845e-12,"KCNK2","potassium two pore domain channel subfamily K member 2"
"ENSG00000157578",1.41666666666667,12.2172284644195,-10.8005617977528,0.02468144293023,FALSE,2.83980343006844e-15,5.02730401225016e-12,"LCA5L","lebercilin LCA5 like"
"ENSG00000139910",0.0416666666666667,7.29588014981273,-7.25421348314607,0.0136752132515199,FALSE,6.02151203843123e-15,9.69080251057709e-12,"NOVA1","NOVA alternative splicing regulator 1"
"ENSG00000136450",3.5,36.8913857677903,-33.3913857677903,0.0099199790897369,FALSE,9.05811850332976e-15,1.33629893220372e-11,"SRSF1","serine and arginine rich splicing factor 1"
"ENSG00000107518",0,0.760299625468165,-0.760299625468165,0.0148621726775718,FALSE,1.13076495084433e-14,1.53984091729209e-11,"ATRNL1","attractin like 1"
"ENSG00000002933",0,0.344569288389513,-0.344569288389513,0.0150453934206528,FALSE,1.24949660761849e-14,1.57998846033358e-11,"TMEM176A","transmembrane protein 176A"
"ENSG00000100867",1.33333333333333,67.4681647940075,-66.1348314606742,0.0178806503029147,FALSE,1.7627086252501e-14,2.08034871952017e-11,"DHRS2","dehydrogenase/reductase 2"
"ENSG00000165349",1.16666666666667,13.4644194756554,-12.2977528089888,0.0193702333005274,FALSE,2.07111812735206e-14,2.2915627630321e-11,"SLC7A3","solute carrier family 7 member 3"
"ENSG00000144031",2.16666666666667,10.2434456928839,-8.07677902621723,0.00263269067235662,FALSE,2.34862553904105e-14,2.44574811280257e-11,"ANKRD53","ankyrin repeat domain 53"
"ENSG00000075891",0.666666666666667,11.6928838951311,-11.0262172284644,0.0195613287160322,FALSE,2.91108595273629e-14,2.86305303451614e-11,"PAX2","paired box 2"
"ENSG00000167889",7.33333333333333,31.1535580524345,-23.8202247191011,0.0134367343251202,FALSE,1.55875394919088e-13,1.45234848223822e-10,"MGAT5B","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B"
"ENSG00000184058",0.333333333333333,5.72284644194757,-5.38951310861423,0.0228243049231518,FALSE,1.90530044147985e-13,1.68647668577589e-10,"TBX1","T-box transcription factor 1"
"ENSG00000163631",2.5,16.7078651685393,-14.2078651685393,0.038133186208779,FALSE,3.55417423437773e-13,2.99616887958043e-10,"ALB","albumin"
"ENSG00000112186",0.333333333333333,16.4456928838951,-16.1123595505618,0.0227027018017802,FALSE,3.85575626984466e-13,3.10265696568454e-10,"CAP2","cyclase associated actin cytoskeleton regulatory protein 2"
"ENSG00000118514",4.45833333333333,38.9812734082397,-34.5229400749064,0.0139065763964955,FALSE,4.30092750531066e-13,3.31040520115281e-10,"ALDH8A1","aldehyde dehydrogenase 8 family member A1"
"ENSG00000149948",2,17.936329588015,-15.936329588015,0.0339351298544907,FALSE,6.12512378870516e-13,4.3974250027723e-10,"HMGA2","high mobility group AT-hook 2"
