"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000184058",0.333333333333333,6.31858407079646,-5.98525073746313,0.0181947136448142,FALSE,2.01155120138694e-12,1.21765852038698e-08,"TBX1","T-box transcription factor 1"
"ENSG00000189299",0,0.221238938053097,-0.221238938053097,0.0162025651761915,FALSE,2.07988949768802e-12,1.21765852038698e-08,"FOXR2","forkhead box R2"
"ENSG00000154646",0.208333333333333,13.4336283185841,-13.2252949852507,0.0166882998708834,FALSE,2.83195780387351e-12,1.21765852038698e-08,"TMPRSS15","transmembrane serine protease 15"
"ENSG00000130720",0.208333333333333,3.82300884955752,-3.61467551622419,0.0173701749749595,FALSE,3.6170713514586e-12,1.21765852038698e-08,"FIBCD1","fibrinogen C domain containing 1"
"ENSG00000102195",0,0.230088495575221,-0.230088495575221,0.0177834353166623,FALSE,3.97727688025456e-12,1.21765852038698e-08,"GPR50","G protein-coupled receptor 50"
"ENSG00000125144",0,1.98672566371681,-1.98672566371681,0.018338215649478,FALSE,4.92769986910161e-12,1.21765852038698e-08,"MT1G","metallothionein 1G"
"ENSG00000138640",0,2.72566371681416,-2.72566371681416,0.0183444754473533,FALSE,4.93944950188267e-12,1.21765852038698e-08,"FAM13A","family with sequence similarity 13 member A"
"ENSG00000157578",1.41666666666667,9.42477876106195,-8.00811209439528,0.0254268953722969,FALSE,5.42296284757327e-12,1.21765852038698e-08,"LCA5L","lebercilin LCA5 like"
"ENSG00000002933",0,0.305309734513274,-0.305309734513274,0.0203041052020733,FALSE,1.00385499812775e-11,2.00358303681874e-08,"TMEM176A","transmembrane protein 176A"
"ENSG00000075891",0.666666666666667,8.60619469026549,-7.93952802359882,0.0235519304983089,FALSE,1.13933797564914e-11,2.04659280565855e-08,"PAX2","paired box 2"
"ENSG00000169282",3.54166666666667,13.7256637168142,-10.1839970501475,0.0136609123116797,FALSE,1.56210637882649e-11,2.55091971662366e-08,"KCNAB1","potassium voltage-gated channel subfamily A regulatory beta subunit 1"
"ENSG00000167771",0.375,6.0353982300885,-5.6603982300885,0.0222874248369014,FALSE,1.93751522677707e-11,2.90029883488304e-08,"RCOR2","REST corepressor 2"
"ENSG00000145777",0,0.243362831858407,-0.243362831858407,0.0238095485358969,FALSE,3.0658716520381e-11,3.95697513571861e-08,"TSLP","thymic stromal lymphopoietin"
"ENSG00000083067",0.0833333333333333,3.05752212389381,-2.97418879056047,0.0216698229580501,FALSE,3.08398663363918e-11,3.95697513571861e-08,"TRPM3","transient receptor potential cation channel subfamily M member 3"
