"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","55/544","407/21273",0.135135135135135,5.28442965023847,14.1379048833039,2.95235786151463e-24,1.25711397743293e-20,1.18591553679367e-20,"RSAD2/IFIT1/IFI6/MX1/IFI44L/IFIT3/OAS3/OAS1/HERC5/IFIT5/ISG15/OASL/IFIH1/USP18/IFIT2/OAS2/IFI27/DDX60/EIF2AK2/ZBP1/DHX58/RTP4/PLSCR1/IRF7/TRIM22/MX2/MOV10/RIGI/PML/IFI16/TRIM5/SHFL/PARP9/STAT2/TRIM6/IFITM1/DTX3L/TRIM38/ADAR/TREX1/BST2/NT5C3A/DDX60L/POLR3C/IRF9/GBP7/TRIM21/CXCL10/ISG20/TMEM120A/GBP1/APOBEC3A/CD40/ZNFX1/STAT1",55
"GO:0045069","regulation of viral genome replication","25/544","90/21273",0.277777777777778,10.8624387254902,15.188898356787,2.24425604007646e-19,4.77802110932278e-16,4.50741107838514e-16,"RSAD2/IFIT1/MX1/OAS3/OAS1/IFIT5/ISG15/OASL/IFIH1/OAS2/EIF2AK2/PLSCR1/IFI16/SHFL/TRIM6/IFITM1/TRIM38/ADAR/BST2/GBP7/ISG20/APOBEC3A/NOTCH1/ZNFX1/PROX1",25
"GO:1903900","regulation of viral life cycle","30/544","143/21273",0.20979020979021,8.20379987659399,14.002137753795,3.45111183620027e-19,4.89827806618025e-16,4.6208571112071e-16,"RSAD2/IFIT1/MX1/OAS3/OAS1/IFIT5/ISG15/OASL/IFIH1/OAS2/EIF2AK2/LAMP3/PLSCR1/IFI16/TRIM5/SHFL/TRIM6/IFITM1/TRIM38/ADAR/AXL/BST2/GBP7/TRIM21/ISG20/LGALS9/APOBEC3A/NOTCH1/ZNFX1/PROX1",30
"GO:0050792","regulation of viral process","33/544","183/21273",0.180327868852459,7.05168153326905,13.3191882342702,7.6327781440789e-19,6.72311944538531e-16,6.3423459997504e-16,"RSAD2/IFIT1/MX1/OAS3/OAS1/IFIT5/ISG15/OASL/IFIH1/OAS2/EIF2AK2/LAMP3/PLSCR1/SP100/IFI16/TRIM5/SHFL/TRIM6/IFITM1/TRIM38/ADAR/TRIM14/AXL/BST2/GBP7/TRIM21/ISG20/LGALS9/APOBEC3A/NOTCH1/ZNFX1/STAT1/PROX1",33
"GO:0045071","negative regulation of viral genome replication","21/544","60/21273",0.35,13.6866727941176,15.941777906245,7.89469169256143e-19,6.72311944538531e-16,6.3423459997504e-16,"RSAD2/IFIT1/MX1/OAS3/OAS1/IFIT5/ISG15/OASL/IFIH1/OAS2/EIF2AK2/PLSCR1/IFI16/SHFL/TRIM6/IFITM1/BST2/ISG20/APOBEC3A/ZNFX1/PROX1",21
"GO:0019079","viral genome replication","28/544","138/21273",0.202898550724638,7.93430306905371,13.2390149402205,1.37602924337565e-17,9.76522086382251e-15,9.21215367144117e-15,"RSAD2/IFIT1/MX1/OAS3/OAS1/IFIT5/ISG15/OASL/IFIH1/OAS2/IFI27/EIF2AK2/PLSCR1/IFI16/SHFL/TRIM6/IFITM1/TRIM38/ADAR/CCL2/BST2/GBP7/ISG20/CCL8/APOBEC3A/NOTCH1/ZNFX1/PROX1",28
"GO:0048525","negative regulation of viral process","25/544","112/21273",0.223214285714286,8.72874540441176,13.2850855449011,6.91679434891927e-17,4.20738719109975e-14,3.9690958248836e-14,"RSAD2/IFIT1/MX1/OAS3/OAS1/IFIT5/ISG15/OASL/IFIH1/OAS2/EIF2AK2/PLSCR1/SP100/IFI16/SHFL/TRIM6/IFITM1/TRIM14/BST2/TRIM21/ISG20/APOBEC3A/ZNFX1/STAT1/PROX1",25
"GO:0034340","response to type I interferon","21/544","96/21273",0.21875,8.55417049632353,12.0172367436596,3.2886833781876e-14,1.75040172804035e-11,1.65126523304788e-11,"IFIT1/MX1/OAS3/OAS1/ISG15/OASL/IFIH1/USP18/OAS2/IFI27/ZBP1/IRF7/SP100/SHFL/STAT2/TRIM6/IFITM1/ADAR/TREX1/TYK2/STAT1",21
"GO:0016032","viral process","44/544","482/21273",0.0912863070539419,3.56973090065902,9.24459549585534,2.96169764482615e-13,1.40121206351886e-10,1.32185242253293e-10,"RSAD2/IFIT1/MX1/OAS3/OAS1/SIGLEC1/IFIT5/ISG15/OASL/IFIH1/OAS2/IFI27/EIF2AK2/LAMP3/PLSCR1/IRF7/SP100/IFI16/TRIM5/SHFL/PARP9/TRIM6/IFITM1/CHMP5/TRIM38/ADAR/CCL2/TRIM14/AXL/BST2/PARP10/GBP7/TRIM21/ACE2/ISG20/EIF3L/LGALS9/CCL8/APOBEC3A/NOTCH1/WWP2/ZNFX1/STAT1/PROX1",44
"GO:0019058","viral life cycle","37/544","356/21273",0.103932584269663,4.06426078155982,9.44529354918229,5.10025905945032e-13,2.17169030751395e-10,2.04869353377499e-10,"RSAD2/IFIT1/MX1/OAS3/OAS1/SIGLEC1/IFIT5/ISG15/OASL/IFIH1/OAS2/IFI27/EIF2AK2/LAMP3/PLSCR1/IFI16/TRIM5/SHFL/TRIM6/IFITM1/CHMP5/TRIM38/ADAR/CCL2/AXL/BST2/GBP7/TRIM21/ACE2/ISG20/LGALS9/CCL8/APOBEC3A/NOTCH1/WWP2/ZNFX1/PROX1",37
"GO:0071357","cellular response to type I interferon","19/544","90/21273",0.211111111111111,8.25545343137255,11.1739446772626,1.09269185227845e-12,4.22971082454694e-10,3.9901551275546e-10,"IFIT1/OAS3/OAS1/ISG15/OASL/IFIH1/USP18/OAS2/IFI27/ZBP1/IRF7/SP100/STAT2/TRIM6/IFITM1/ADAR/TREX1/TYK2/STAT1",19
"GO:0060337","type I interferon-mediated signaling pathway","18/544","89/21273",0.202247191011236,7.90883179114342,10.5805946056027,9.34001063445171e-12,3.31414710679128e-09,3.12644566500594e-09,"OAS3/OAS1/ISG15/OASL/IFIH1/USP18/OAS2/IFI27/ZBP1/IRF7/SP100/STAT2/TRIM6/IFITM1/ADAR/TREX1/TYK2/STAT1",18
"GO:0140374","antiviral innate immune response","17/544","84/21273",0.202380952380952,7.9140625,10.2856596574059,3.4985126233253e-11,1.14589744231686e-08,1.08099790855136e-08,"IFIT1/MX1/IFIT3/OAS3/OAS1/OASL/IFIH1/USP18/IFIT2/OAS2/EIF2AK2/ZBP1/DHX58/RIGI/TRIM6/CXCL10/TMEM120A",17
"GO:0140888","interferon-mediated signaling pathway","20/544","122/21273",0.163934426229508,6.41061957569913,9.70903123863912,3.79679897873767e-11,1.15476928939036e-08,1.08936728592954e-08,"OAS3/OAS1/ISG15/OASL/IFIH1/USP18/OAS2/IFI27/ZBP1/PARP14/IRF7/SP100/PARP9/STAT2/TRIM6/IFITM1/ADAR/TREX1/TYK2/STAT1",20
"GO:0035456","response to interferon-beta","11/544","36/21273",0.305555555555556,11.9486825980392,10.6507690811414,9.31353250188813e-10,2.64380142620264e-07,2.49406596682141e-07,"XAF1/OAS1/PLSCR1/IFI16/SHFL/TRIM6/PNPT1/IFITM1/TREX1/BST2/STAT1",11
