"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060326","cell chemotaxis","26/426","379/21273",0.0686015831134565,3.4257311680107,6.8114356299181,5.6909797063905e-08,0.000217267275001639,0.000199747818982511,"MAPK3/ARRB2/ALOX5/C5AR1/DAPK2/CXCR2/C5AR2/CSF3R/PIK3CD/BIN2/GPSM3/FPR2/ADAM8/S100A9/TREM1/NOTCH1/CRK/SYK/PREX1/RHOG/F2RL1/DUSP1/IL17RA/CXCR1/TIAM1/RIPOR2",26
"GO:0051056","regulation of small GTPase mediated signal transduction","24/426","342/21273",0.0701754385964912,3.50432419075859,6.67414736030043,1.22060481228885e-07,0.000217267275001639,0.000199747818982511,"ARHGAP9/PLEKHG3/BCL6/LPAR2/FGD3/ARHGEF40/GMIP/CYTH4/RAF1/ARAP1/CYTH1/RGL2/NOTCH1/CRK/ARHGEF1/PREX1/ARHGAP26/F2RL1/ARHGAP27/GIT2/ARFGAP1/TIAM1/TIAM2/RIPOR2",24
"GO:0050900","leukocyte migration","28/426","457/21273",0.0612691466083151,3.05957407464481,6.36244520856043,1.86351411582018e-07,0.000217267275001639,0.000199747818982511,"MAPK3/SIRPA/ALOX5/C5AR1/PTAFR/DAPK2/STAT5B/CXCR2/C5AR2/CSF3R/PIK3CD/GPSM3/CNN2/FPR2/NLRP12/ADAM8/S100A9/TREM1/CRK/SYK/PREX1/F2RL1/DUSP1/IL17RA/CXCR1/HCK/AKT1/RIPOR2",28
"GO:0030593","neutrophil chemotaxis","12/426","89/21273",0.134831460674157,6.73302737774964,7.74751121687123,2.10377414671159e-07,0.000217267275001639,0.000199747818982511,"C5AR1/DAPK2/CXCR2/C5AR2/CSF3R/PIK3CD/S100A9/TREM1/SYK/PREX1/CXCR1/RIPOR2",12
"GO:0071621","granulocyte chemotaxis","14/426","132/21273",0.106060606060606,5.29630815194196,7.07793882213198,4.31300892085811e-07,0.000331478951353148,0.000304749979355619,"MAPK3/C5AR1/DAPK2/CXCR2/C5AR2/CSF3R/PIK3CD/S100A9/TREM1/SYK/PREX1/IL17RA/CXCR1/RIPOR2",14
"GO:1990266","neutrophil migration","13/426","114/21273",0.114035087719298,5.6945268099827,7.18429006343982,4.81450909735872e-07,0.000331478951353148,0.000304749979355619,"C5AR1/DAPK2/CXCR2/C5AR2/CSF3R/PIK3CD/ADAM8/S100A9/TREM1/SYK/PREX1/CXCR1/RIPOR2",13
"GO:0030595","leukocyte chemotaxis","20/426","271/21273",0.0738007380073801,3.68535938880516,6.35980666620542,6.30258976598691e-07,0.000344901544450027,0.000317090234905706,"MAPK3/ALOX5/C5AR1/DAPK2/CXCR2/C5AR2/CSF3R/PIK3CD/GPSM3/FPR2/ADAM8/S100A9/TREM1/SYK/PREX1/F2RL1/DUSP1/IL17RA/CXCR1/RIPOR2",20
"GO:0097529","myeloid leukocyte migration","20/426","272/21273",0.0735294117647059,3.67181027340514,6.33953287767403,6.67928432728204e-07,0.000344901544450027,0.000317090234905706,"MAPK3/SIRPA/C5AR1/DAPK2/STAT5B/CXCR2/C5AR2/CSF3R/PIK3CD/CNN2/FPR2/ADAM8/S100A9/TREM1/SYK/PREX1/DUSP1/IL17RA/CXCR1/RIPOR2",20
"GO:0097530","granulocyte migration","15/426","162/21273",0.0925925925925926,4.62376108502869,6.61835166767405,9.74708248002596e-07,0.000447391085833192,0.000411315480560628,"MAPK3/C5AR1/DAPK2/CXCR2/C5AR2/CSF3R/PIK3CD/ADAM8/S100A9/TREM1/SYK/PREX1/IL17RA/CXCR1/RIPOR2",15
"GO:0006909","phagocytosis","18/426","266/21273",0.0676691729323308,3.37916975537435,5.58176321757493,7.70452229633463e-06,0.00318273816061584,0.0029260964679132,"SLC11A1/NCF4/ICAM3/CEACAM4/SIRPA/DYSF/BIN2/CNN2/FPR2/FCGR2A/ANXA11/GSN/SYK/F2RL1/CYBA/XKR8/CFP/HCK",18
