"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090103","cochlea morphogenesis","5/253","26/21273",0.192307692307692,16.1698084524171,8.49114053731974,1.22645111987189e-05,0.0201219194825816,0.0185136793854222,"PAX2/TBX1/WNT5A/FRZB/DCANP1",5
"GO:2001053","regulation of mesenchymal cell apoptotic process","4/253","15/21273",0.266666666666667,22.4221343873518,9.10532044328316,2.40548396640684e-05,0.0201219194825816,0.0185136793854222,"PAX2/TBX1/MSX2/PAX8",4
"GO:0060349","bone morphogenesis","8/253","102/21273",0.0784313725490196,6.59474540804464,6.2138075038119,2.99925273997073e-05,0.0201219194825816,0.0185136793854222,"BMPR1B/FGF18/CITED2/ACTN3/DCANP1/MSX2/COL27A1/FREM1",8
"GO:0021602","cranial nerve morphogenesis","5/253","31/21273",0.161290322580645,13.5617748310595,7.67860303149764,3.01783103557882e-05,0.0201219194825816,0.0185136793854222,"PAX2/TBX1/CITED2/DCANP1/HOXB3",5
"GO:0097152","mesenchymal cell apoptotic process","4/253","17/21273",0.235294117647059,19.7842362241339,8.50012471975468,4.1163036137743e-05,0.0201219194825816,0.0185136793854222,"PAX2/TBX1/MSX2/PAX8",4
"GO:0090102","cochlea development","6/253","54/21273",0.111111111111111,9.34255599472991,6.73413193318872,4.27065853892782e-05,0.0201219194825816,0.0185136793854222,"KCNK2/PAX2/TBX1/WNT5A/FRZB/DCANP1",6
"GO:0007519","skeletal muscle tissue development","10/253","191/21273",0.0523560209424084,4.40225151584132,5.18173575626774,0.000101195572491283,0.0399181464559924,0.0367276971655865,"TBX1/ANHX/MYL11/RBM24/MSTN/CITED2/MEGF10/ACTN3/MYH15/KLHL41",10
"GO:0071625","vocalization behavior","4/253","22/21273",0.181818181818182,15.2878189004671,7.35589732292389,0.000120732073935509,0.0399181464559924,0.0367276971655865,"NLGN4Y/NLGN4X/SHANK1/DCANP1",4
"GO:2001014","regulation of skeletal muscle cell differentiation","4/253","23/21273",0.173913043478261,14.6231311221859,7.17149094557826,0.000144789481921496,0.0399181464559924,0.0367276971655865,"TBX1/RBM24/MSTN/KLHL41",4
"GO:0003002","regionalization","16/253","464/21273",0.0344827586206897,2.89941392939894,4.53838223612232,0.000149490754549338,0.0399181464559924,0.0367276971655865,"PAX2/TBX1/BMPR1B/CITED2/WNT5A/PSKH1/TDRD1/HOXA7/DCANP1/HOXB3/MSX2/PIERCE1/PAX8/GPR161/GPC3/DNAH11",16
"GO:0048705","skeletal system morphogenesis","11/253","241/21273",0.045643153526971,3.83781345841602,4.86071486559991,0.000155323527066118,0.0399181464559924,0.0367276971655865,"TBX1/BMPR1B/FGF18/CITED2/ACTN3/HOXA7/DCANP1/HOXB3/MSX2/COL27A1/FREM1",11
"GO:0007611","learning or memory","13/253","332/21273",0.0391566265060241,3.2924067812753,4.61859716722245,0.000184552065233777,0.0408613739817071,0.0375955374336933,"KCNK2/NPTX2/TACR2/SLC1A1/CLSTN2/NLGN4Y/NLGN4X/CLDN5/SHANK1/ELAVL4/DCANP1/ADCY1/DNAH11",13
"GO:0060538","skeletal muscle organ development","10/253","206/21273",0.0485436893203883,4.0816992209985,4.87607725746422,0.000187901613640677,0.0408613739817071,0.0375955374336933,"TBX1/ANHX/MYL11/RBM24/MSTN/CITED2/MEGF10/ACTN3/MYH15/KLHL41",10
"GO:0007612","learning","9/253","173/21273",0.0520231213872832,4.37426032123192,4.88886985046619,0.000235338152495095,0.0475214969359739,0.0437233514898782,"NPTX2/TACR2/SLC1A1/CLSTN2/NLGN4Y/NLGN4X/CLDN5/SHANK1/ELAVL4",9
