"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031663","lipopolysaccharide-mediated signaling pathway","16/602","72/21273",0.222222222222222,7.85271317829457,9.93967751338479,1.31680143309815e-10,5.43143737471285e-07,4.60243478260379e-07,"TRIB1/PLCG2/LILRA2/MAPK14/MYD88/TLR2/LYN/MAPK3/MAPK1/CD55/PTPN6/PTAFR/SIRPA/NFKBIA/HCK/IRAK3",16
"GO:0051056","regulation of small GTPase mediated signal transduction","34/602","342/21273",0.0994152046783626,3.51305589555284,7.99543094636614,2.38273190380033e-10,5.43143737471285e-07,4.60243478260379e-07,"DENND3/ARHGAP27/GMIP/RAF1/ARHGAP26/GIT2/ARHGAP25/BCL6/ARHGAP9/RALGAPA2/FGD3/IQSEC1/RIPOR2/ARHGEF40/CRK/MAP4K4/ARHGAP19/VAV1/PREX1/SIPA1L1/LPAR2/ARHGEF11/SEMA4D/FLOT1/RASGRP1/SIPA1L2/ARHGEF2/ABR/CDC42SE1/PICALM/AKAP13/SOS2/F11R/ARHGAP30",34
"GO:0050900","leukocyte migration","39/602","457/21273",0.0853391684901532,3.01564805862297,7.43354250925625,1.02259870107428e-09,1.55400915939921e-06,1.31682008173424e-06,"CSF3R/ALOX5/C5AR2/NEDD9/DAPK2/STAT5B/C5AR1/GPSM3/RIPOR2/PTK2B/IL6R/CRK/IL17RA/CNN2/VAV1/MYD88/S100A9/CXCR1/PREX1/RIPK3/DUSP1/LYN/JAML/MAPK3/IL1R1/MAPK1/SELL/FADD/S100A12/SELPLG/PTAFR/SIRPA/TREM1/HCK/NLRP12/S1PR1/CXCL16/GBA1/F11R",39
"GO:0002429","immune response-activating cell surface receptor signaling pathway","36/602","433/21273",0.0831408775981524,2.93796659326494,6.95285290562307,9.04077802282564e-09,1.00690327649814e-05,8.53219201982927e-06,"FGR/C5AR2/PRKCD/C5AR1/BMX/PSEN1/PLCG2/LILRA2/VAV1/MYD88/TLR2/PRKD2/THEMIS2/ITGAM/INPP5D/FOSL2/LYN/FPR1/PRKCB/MAPK1/PELI1/PTPN6/BTNL8/GRB2/BTN2A1/NFAM1/MFHAS1/MNDA/TLR5/NFKBIA/HCK/BCL2/CD28/LCP2/APPL2/UBR2",36
"GO:0006909","phagocytosis","27/602","266/21273",0.101503759398496,3.58685959083756,7.24524910128565,1.10430278185801e-08,1.00690327649814e-05,8.53219201982927e-06,"BIN2/NCF4/FGR/ARHGAP25/PRKCD/NCF2/RAB7A/SLC11A1/CEACAM4/RAB31/CNN2/PLCG2/VAV1/MYD88/RARA/TLR2/FCGR2A/ITGAM/LYN/DYSF/ANXA11/DNM2/SIRPA/CDC42SE1/HCK/APPL2/ICAM3",27
"GO:0060326","cell chemotaxis","30/602","379/21273",0.079155672823219,2.79714057802049,6.02438230773213,4.53845263492747e-07,0.000274488375372436,0.000232593098120973,"BIN2/ARRB2/CSF3R/ALOX5/C5AR2/NEDD9/DAPK2/PRKCD/C5AR1/GPSM3/RIPOR2/PTK2B/IL6R/CRK/IL17RA/VAV1/S100A9/CXCR1/PREX1/PRKD2/DUSP1/LYN/JAML/MAPK3/MAPK1/HMGB2/S100A12/TREM1/S1PR1/CXCL16",30
"GO:0032635","interleukin-6 production","22/602","225/21273",0.0977777777777778,3.45519379844961,6.31819876434022,4.81664181394931e-07,0.000274488375372436,0.000232593098120973,"ARRB2/STAT3/C5AR2/AKIRIN2/MAPK13/IL6R/IL17RA/PLCG2/LILRA2/MYD88/TLR2/TLR8/INPP5D/ARHGEF2/MBP/PTPN6/MAPKAPK2/PTAFR/SIRPA/NLRP12/GBA1/IRAK3",22
"GO:0032675","regulation of interleukin-6 production","22/602","225/21273",0.0977777777777778,3.45519379844961,6.31819876434022,4.81664181394931e-07,0.000274488375372436,0.000232593098120973,"ARRB2/STAT3/C5AR2/AKIRIN2/MAPK13/IL6R/IL17RA/PLCG2/LILRA2/MYD88/TLR2/TLR8/INPP5D/ARHGEF2/MBP/PTPN6/MAPKAPK2/PTAFR/SIRPA/NLRP12/GBA1/IRAK3",22
"GO:0071375","cellular response to peptide hormone stimulus","31/602","404/21273",0.0767326732673267,2.71151853557449,5.92711200482413,5.73335884502284e-07,0.00029042647749399,0.000246098560950103,"PXN/STAT3/RAF1/STAT5B/NDEL1/CFLAR/PRKCD/PTPRE/SP1/STAT6/CRK/RAB31/GRB10/TYK2/LYN/MAPK3/PRKCB/MAPK1/FOS/INHBB/GRB2/IRS2/NUCKS1/WDTC1/PRKCZ/ZNF592/APPL2/NCOA1/SOS2/NFE2L2/SNX5",31
"GO:0002218","activation of innate immune response","31/602","409/21273",0.0757946210268949,2.67837038721783,5.84887499626473,7.46398901958159e-07,0.000340283259402725,0.000288345681072257,"ARRB2/TRIM25/ZDHHC18/PLCG2/LILRA2/MYD88/S100A9/SEC14L1/MEFV/CLEC4E/TLR2/TLR8/UFD1/MAP2K6/LYN/FLOT1/PELI1/TOMM70/IPO5/MAPKAPK2/MFHAS1/MNDA/GDI1/TLR5/NFKBIA/HCK/USP15/APPL2/IRAK3/CASP1/NLRP1",31
