"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002429","immune response-activating cell surface receptor signaling pathway","104/2326","433/21273",0.240184757505774,2.19666824867598,8.81470228498621,4.73293110717275e-15,2.91359238957555e-11,2.40183798607156e-11,"VAV1/PRKCD/INPP5D/PRKD2/FGR/ITGAM/TLR5/TLR2/PIK3CD/BMX/LAPTM5/PTPN6/LILRA2/NFKBIA/PLCG2/BTN2A1/GRB2/MYD88/THEMIS2/PSEN1/SH2D1A/NFATC2/HCK/LYN/MAPK1/RNF31/UBR2/APPL2/PRKCB/NFAM1/C5AR1/PLEKHA1/TLR4/FOSL2/TLR1/BTNL8/VAV3/SYK/RBCK1/CD247/CD3G/CBLB/LCP2/MFHAS1/TLR6/FPR2/CREBBP/LPXN/PRKCH/BCL2/PAK1/TYROBP/FPR1/PELI1/RAB29/RFTN1/CD3D/ITK/CR1/LCK/CD28/NOD2/MNDA/DUSP22/NCK1/BTN3A1/PTPRJ/CHUK/MALT1/CD300A/TRIM32/GATA3/THEMIS/ADA/CEACAM1/DUSP3/BCL10/SKAP1/SH2B2/NINJ1/PRAM1/PAK2/LAT2/PIK3AP1/RC3H1/NMI/FYB1/LAX1/FYN/HHLA2/BTN3A3/NFKBID/FFAR2/EIF2B3/C5AR2/PDE4B/IRAK2/UBE2N/PRNP/NFKBIZ/CD3E/SCIMP/CTLA4/FCER1G",104
"GO:0030098","lymphocyte differentiation","109/2326","490/21273",0.222448979591837,2.03446136838226,8.11702694669686,2.4834539889391e-13,7.64407137795456e-10,6.30143772667127e-10,"STAT3/PREX1/PTK2B/VAV1/KLF6/STAT5B/INPP5D/IL18R1/NFIL3/FADD/GBA1/STAT6/RARA/PIK3CD/HLX/PRKCZ/PTPN6/IL6R/SMARCD3/PLCG2/ADAM17/BCL6/RASGRP1/HDAC4/RIPK3/CLEC4E/CHD7/NFAM1/PRKDC/BCL3/FOSL2/SEMA4A/SOS2/SYK/FOXO3/CD3G/JMJD6/IRF1/ICOS/IL4R/JAK3/CLEC4D/STAT4/STAT5A/PHF14/RORA/ZBTB7B/GPR18/CD2/PGLYRP1/DOCK2/TCIRG1/PKNOX1/BCL2/LILRB2/TP53/DROSHA/FNIP1/PCID2/CD3D/ITK/CR1/LCK/CD28/SPN/ACTL6A/SPI1/ZBTB1/HHEX/PTPRJ/MALT1/BCL11B/DCAF1/VNN1/GATA3/THEMIS/ADA/FLT3/BRD4/PHF10/CDK6/DOCK10/PRDM1/ACTL6B/NOTCH2/B2M/ZFP36L1/RC3H1/CRACR2A/RHOA/CD69/HDAC5/RHOH/NFKBID/SOCS3/IL1RL2/TMEM131L/CCR2/SASH3/NFKBIZ/CD3E/SLAMF6/CTNNB1/DLL4/CTLA4/MSH2/ZBTB16/IL4/FCER1G",109
"GO:0030217","T cell differentiation","89/2326","373/21273",0.238605898123324,2.18222840532136,8.0708904515789,6.70305677121543e-13,1.37546724945341e-09,1.13387497172034e-09,"STAT3/PREX1/VAV1/STAT5B/IL18R1/FADD/GBA1/STAT6/RARA/PIK3CD/HLX/PRKCZ/IL6R/SMARCD3/ADAM17/BCL6/RASGRP1/RIPK3/CLEC4E/CHD7/PRKDC/BCL3/FOSL2/SEMA4A/SOS2/SYK/FOXO3/CD3G/JMJD6/IRF1/ICOS/IL4R/JAK3/CLEC4D/STAT4/STAT5A/RORA/ZBTB7B/GPR18/CD2/DOCK2/TCIRG1/PKNOX1/BCL2/LILRB2/TP53/DROSHA/CD3D/ITK/CR1/LCK/CD28/SPN/ACTL6A/SPI1/ZBTB1/MALT1/BCL11B/VNN1/GATA3/THEMIS/ADA/BRD4/PHF10/CDK6/PRDM1/ACTL6B/B2M/ZFP36L1/RC3H1/CRACR2A/RHOA/CD69/RHOH/NFKBID/SOCS3/IL1RL2/TMEM131L/CCR2/SASH3/NFKBIZ/CD3E/SLAMF6/CTNNB1/DLL4/CTLA4/ZBTB16/IL4/FCER1G",89
"GO:0002366","leukocyte activation involved in immune response","88/2326","376/21273",0.234042553191489,2.14049322185836,7.81778008362633,2.81563496281779e-12,4.02379951181828e-09,3.31704412408535e-09,"STAT3/PTK2B/IL18R1/GAB2/FGR/APBB1IP/PCYT1A/ITGAM/STAT6/RARA/PIK3CD/HLX/PRKCZ/PTPN6/IL6R/LILRA2/DYSF/PLCG2/MYD88/BCL6/PSEN1/RASGRP1/CLEC4E/LCP1/MILR1/LYN/SLC11A1/BCL3/TLR4/SEMA4A/SYK/LAMP1/ADGRE2/ICOS/IL4R/JAK3/CLEC4D/STX4/STAT4/STAT5A/PHF14/RORA/ZBTB7B/PGLYRP1/SHLD2/DOCK2/CBL/SLC15A4/CD177/UNC13D/TYROBP/TP53/STXBP2/CR1/CD28/FES/PDPK1/SPN/SPI1/PTAFR/MALT1/CD300A/GATA3/ADA/CEACAM1/SBNO2/BRD4/DOCK10/PRAM1/LAT2/NOTCH2/NSD2/RC3H1/NMI/CRACR2A/CD69/AP1G1/UNG/NFKBID/SOCS3/ANXA3/CCR2/NFKBIZ/FER/SLAMF6/MSH2/IL4/FCER1G",88
"GO:0050851","antigen receptor-mediated signaling pathway","70/2326","270/21273",0.259259259259259,2.3711187541798,7.94428977146281,3.26819323571985e-12,4.02379951181828e-09,3.31704412408535e-09,"INPP5D/PRKD2/PIK3CD/BMX/LAPTM5/PTPN6/NFKBIA/PLCG2/BTN2A1/GRB2/THEMIS2/PSEN1/SH2D1A/NFATC2/LYN/MAPK1/RNF31/UBR2/PRKCB/NFAM1/PLEKHA1/FOSL2/BTNL8/VAV3/SYK/RBCK1/CD247/CD3G/CBLB/LCP2/LPXN/PRKCH/BCL2/RAB29/RFTN1/CD3D/ITK/LCK/CD28/MNDA/DUSP22/NCK1/BTN3A1/PTPRJ/MALT1/CD300A/GATA3/THEMIS/ADA/CEACAM1/DUSP3/BCL10/SKAP1/SH2B2/PRAM1/LAT2/RC3H1/FYB1/LAX1/FYN/HHLA2/BTN3A3/NFKBID/EIF2B3/PDE4B/UBE2N/PRNP/NFKBIZ/CD3E/CTLA4",70
"GO:0002263","cell activation involved in immune response","88/2326","380/21273",0.231578947368421,2.11796171425985,7.70472454932477,5.20307140145222e-12,5.33835125788998e-09,4.40070302217564e-09,"STAT3/PTK2B/IL18R1/GAB2/FGR/APBB1IP/PCYT1A/ITGAM/STAT6/RARA/PIK3CD/HLX/PRKCZ/PTPN6/IL6R/LILRA2/DYSF/PLCG2/MYD88/BCL6/PSEN1/RASGRP1/CLEC4E/LCP1/MILR1/LYN/SLC11A1/BCL3/TLR4/SEMA4A/SYK/LAMP1/ADGRE2/ICOS/IL4R/JAK3/CLEC4D/STX4/STAT4/STAT5A/PHF14/RORA/ZBTB7B/PGLYRP1/SHLD2/DOCK2/CBL/SLC15A4/CD177/UNC13D/TYROBP/TP53/STXBP2/CR1/CD28/FES/PDPK1/SPN/SPI1/PTAFR/MALT1/CD300A/GATA3/ADA/CEACAM1/SBNO2/BRD4/DOCK10/PRAM1/LAT2/NOTCH2/NSD2/RC3H1/NMI/CRACR2A/CD69/AP1G1/UNG/NFKBID/SOCS3/ANXA3/CCR2/NFKBIZ/FER/SLAMF6/MSH2/IL4/FCER1G",88
"GO:0042594","response to starvation","65/2326","250/21273",0.26,2.37789337919175,7.67851191171683,1.68579991233147e-11,1.48254060861608e-08,1.22214156050376e-08,"MTMR3/UPP1/RALB/GBA1/SH3GLB1/INHBB/SP1/MAP3K5/ZFP36/MAPK3/MAPK1/FOS/FLCN/PCSK9/BECN1/WIPI2/GABARAPL1/MAP1LC3B/FOXO3/DDIT3/NFE2L2/SEH1L/GLUL/WIPI1/PRKCH/MCU/EIF2S1/TFEB/PLIN3/ULK1/JMY/CBL/MAP1LC3A/BCL2/ATG7/PAK1/LARP1/TP53/FNIP1/LARS1/LAMP2/PICK1/LRRK2/MIOS/ZFYVE1/KICS2/TRIM32/SESN1/GABARAP/CPEB4/FAS/PAK2/KPTN/BCAS3/MAP1LC3B2/NUAK2/ATG14/TBC1D7/WRN/ACADM/GCGR/WDR45/EIF2A/MICU1/PIK3R4",65
"GO:0009267","cellular response to starvation","57/2326","208/21273",0.274038461538462,2.50628555129308,7.64886570375009,3.14462964257079e-11,2.41979250995822e-08,1.99477098774128e-08,"MTMR3/UPP1/RALB/GBA1/SH3GLB1/INHBB/SP1/MAP3K5/MAPK3/MAPK1/FOS/FLCN/PCSK9/BECN1/WIPI2/GABARAPL1/MAP1LC3B/FOXO3/NFE2L2/SEH1L/GLUL/WIPI1/PRKCH/MCU/EIF2S1/TFEB/PLIN3/JMY/MAP1LC3A/BCL2/ATG7/PAK1/TP53/FNIP1/LARS1/LAMP2/PICK1/LRRK2/MIOS/ZFYVE1/KICS2/TRIM32/SESN1/GABARAP/CPEB4/FAS/PAK2/KPTN/MAP1LC3B2/NUAK2/ATG14/TBC1D7/WRN/GCGR/WDR45/MICU1/PIK3R4",57
"GO:0042113","B cell activation","72/2326","303/21273",0.237623762376238,2.17324604343495,7.20692474434873,1.29267501903852e-10,8.84189713022351e-08,7.2888728266488e-08,"PTK2B/PRKCD/KLF6/STAT5B/INPP5D/PCYT1A/STAT6/SAMSN1/PIK3CD/AKIRIN2/LAPTM5/PTPN6/PLCG2/ADAM17/THEMIS2/BCL6/RASGRP1/HDAC4/NFATC2/LYN/SKAP2/PRKCB/NFAM1/PRKDC/IRS2/CASP8/BCL3/TLR4/FOSL2/VAV3/SYK/JAK3/PHF14/SHLD2/TCIRG1/AKAP17A/SLC15A4/BCL2/TYROBP/PELI1/TP53/FNIP1/PCID2/CR1/CD28/NOD2/MNDA/SH3KBP1/SPI1/ZBTB1/HHEX/PTPRJ/BST1/MALT1/DCAF1/CD300A/ADA/FLT3/DOCK10/LAT2/NOTCH2/NSD2/ZFP36L1/RC3H1/LAX1/HDAC5/UNG/SASH3/NFKBIZ/CTLA4/MSH2/IL4",72
"GO:0051056","regulation of small GTPase mediated signal transduction","78/2326","342/21273",0.228070175438596,2.08587138525592,7.09308628266967,1.82013551406136e-10,1.12047542245617e-07,9.23670875083139e-08,"RAF1/GIT2/ARHGAP27/PREX1/RIPOR2/VAV1/IQSEC1/GMIP/ARHGAP19/SIPA1L1/RALGAPA2/MAP4K4/FLOT1/FGD3/CRK/ARHGAP26/ARHGAP9/SEMA4D/ARHGAP25/SIPA1L2/MFN2/DENND3/ARAP1/ABR/ARHGEF11/ARHGEF2/BCL6/CDC42SE1/RASGRP1/AKAP13/ARHGAP30/CYTH1/TAGAP/ARHGEF40/FLCN/SPRY3/CYTH4/ARHGDIB/TIAM2/LPAR2/RAC1/VAV3/SOS2/DEF6/MYO9B/CYTH2/TIAM1/DOCK8/DOCK6/RGL2/KBTBD7/DOCK2/CBL/PICALM/RALBP1/FGD4/WHR1/RDX/RASGEF1A/KCTD13/ARHGAP24/GABARAP/RAP1GAP2/SH2B2/DOCK10/CADM4/CYRIB/NOTCH2/ARFGEF2/ARHGAP18/SPATA13/ARHGEF9/DLC1/CSF1/ARHGEF15/HEG1/MYO9A/PLEKHG3",78
