"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051056","regulation of small GTPase mediated signal transduction","34/534","342/21273",0.0994152046783626,3.96041132794533,8.85627322316314,9.53977119290978e-12,4.11927320109844e-08,3.52971534137662e-08,"ARHGAP27/GMIP/RAF1/DENND3/GIT2/ARHGAP26/ARHGAP25/IQSEC1/FGD3/BCL6/RALGAPA2/VAV1/RIPOR2/ARHGAP9/MAP4K4/SIPA1L1/CRK/PREX1/ARHGEF11/ARHGAP19/ARHGEF40/SIPA1L2/FLOT1/ARHGEF2/ABR/SEMA4D/LPAR2/RASGRP1/MFN2/CYTH4/ARAP1/ARHGAP30/CDC42SE1/AKAP13",34
"GO:0031663","lipopolysaccharide-mediated signaling pathway","14/534","72/21273",0.194444444444444,7.7460986267166,9.20071644081971,2.61814215389022e-09,5.65256891024899e-06,4.84356298469691e-06,"TRIB1/LILRA2/PLCG2/MAPK14/CD55/TLR2/LYN/SIRPA/MYD88/MAPK3/PTPN6/HCK/MAPK1/NFKBIA",14
"GO:0006909","phagocytosis","25/534","266/21273",0.093984962406015,3.74408633944412,7.22665725072461,1.72409423251137e-08,2.0846198269624e-05,1.7862652523763e-05,"BIN2/NCF4/FGR/PRKCD/ARHGAP25/NCF2/VAV1/RAB7A/RARA/DYSF/RAB31/PLCG2/SLC11A1/CEACAM4/FCGR2A/TLR2/LYN/SIRPA/MYD88/ITGAM/ANXA11/DNM2/HCK/ICAM3/CDC42SE1",25
"GO:0050900","leukocyte migration","34/534","457/21273",0.074398249452954,2.96380891500504,6.80988177913797,1.93109757013654e-08,2.0846198269624e-05,1.7862652523763e-05,"DAPK2/CSF3R/ALOX5/NEDD9/STAT5B/C5AR1/GPSM3/VAV1/RIPOR2/PTK2B/IL6R/RIPK3/CRK/PREX1/IL17RA/LYN/SIRPA/MYD88/MAPK3/JAML/S100A9/CXCL16/SELPLG/SELL/IL1R1/DUSP1/FADD/CXCR1/HCK/PIK3CD/GBA1/S1PR1/MAPK1/NLRP12",34
"GO:0002429","immune response-activating cell surface receptor signaling pathway","32/534","433/21273",0.0739030023094688,2.944079715598,6.55828136026027,5.9384715554828e-08,5.12846403531494e-05,4.39446895105727e-05,"FGR/FPR1/PRKCD/C5AR1/VAV1/LILRA2/BMX/FOSL2/PLCG2/THEMIS2/TLR2/PRKD2/INPP5D/LYN/MYD88/ITGAM/PSEN1/GRB2/PTPN6/TLR5/NFAM1/HCK/PRKCB/PIK3CD/BTNL8/BTN2A1/MAPK1/LAPTM5/PELI1/UBR2/TLR1/NFKBIA",32
"GO:0002366","leukocyte activation involved in immune response","28/534","376/21273",0.074468085106383,2.96659096342338,6.17371923810269,3.44669012533022e-07,0.000230459091196384,0.000197475367630065,"STAT3/FGR/BCL6/GAB2/PTK2B/STAT6/LILRA2/IL6R/RARA/DYSF/PLCG2/SLC11A1/HLX/LYN/MYD88/ITGAM/APBB1IP/PSEN1/PCYT1A/IL18R1/PTPN6/CLEC4E/PIK3CD/SEMA4A/RASGRP1/ZBTB7B/PRKCZ/BCL3",28
"GO:0060326","cell chemotaxis","28/534","379/21273",0.0738786279683377,2.94310871305327,6.12472782336237,4.04844820323458e-07,0.000230459091196384,0.000197475367630065,"BIN2/ARRB2/DAPK2/CSF3R/ALOX5/NEDD9/PRKCD/C5AR1/GPSM3/VAV1/RIPOR2/PTK2B/IL6R/CRK/PREX1/IL17RA/PRKD2/LYN/MAPK3/JAML/S100A9/CXCL16/HMGB2/DUSP1/CXCR1/PIK3CD/S1PR1/MAPK1",28
"GO:0002263","cell activation involved in immune response","28/534","380/21273",0.0736842105263158,2.93536369012419,6.10850410305145,4.26973767848789e-07,0.000230459091196384,0.000197475367630065,"STAT3/FGR/BCL6/GAB2/PTK2B/STAT6/LILRA2/IL6R/RARA/DYSF/PLCG2/SLC11A1/HLX/LYN/MYD88/ITGAM/APBB1IP/PSEN1/PCYT1A/IL18R1/PTPN6/CLEC4E/PIK3CD/SEMA4A/RASGRP1/ZBTB7B/PRKCZ/BCL3",28
"GO:0071375","cellular response to peptide hormone stimulus","28/534","404/21273",0.0693069306930693,2.76098564912671,5.73424922645928,1.44217055318005e-06,0.000658789671540677,0.000564502497614753,"STAT3/PXN/RAF1/STAT5B/PRKCD/PTPRE/CFLAR/NDEL1/STAT6/SP1/CRK/RAB31/ZNF592/LYN/TYK2/MAPK3/GRB2/GRB10/FOS/PRKCB/NUCKS1/INHBB/WDTC1/AGTRAP/ZBTB7B/PRKCZ/MAPK1/USF1",28
"GO:0030595","leukocyte chemotaxis","22/534","271/21273",0.0811808118081181,3.23400638500767,5.93908598936294,1.52568242598582e-06,0.000658789671540677,0.000564502497614753,"DAPK2/CSF3R/ALOX5/NEDD9/C5AR1/GPSM3/VAV1/RIPOR2/PTK2B/IL6R/PREX1/IL17RA/LYN/MAPK3/JAML/S100A9/CXCL16/DUSP1/CXCR1/PIK3CD/S1PR1/MAPK1",22
"GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","5/534","11/21273",0.454545454545455,18.1077630234934,9.10685446673042,3.98797584852489e-06,0.00147030129589942,0.00125986910486981,"STAT3/STAT5B/STAT6/LYN/TYK2",5
"GO:0032635","interleukin-6 production","19/534","225/21273",0.0844444444444444,3.36401997503121,5.72028764983473,4.42656712521825e-06,0.00147030129589942,0.00125986910486981,"STAT3/ARRB2/LILRA2/MAPK13/IL6R/AKIRIN2/IL17RA/PLCG2/TLR2/INPP5D/SIRPA/MYD88/ARHGEF2/PTPN6/TLR8/MAPKAPK2/GBA1/NLRP12/TLR1",19
"GO:0032675","regulation of interleukin-6 production","19/534","225/21273",0.0844444444444444,3.36401997503121,5.72028764983473,4.42656712521825e-06,0.00147030129589942,0.00125986910486981,"STAT3/ARRB2/LILRA2/MAPK13/IL6R/AKIRIN2/IL17RA/PLCG2/TLR2/INPP5D/SIRPA/MYD88/ARHGEF2/PTPN6/TLR8/MAPKAPK2/GBA1/NLRP12/TLR1",19
"GO:0097529","myeloid leukocyte migration","21/534","272/21273",0.0772058823529412,3.07565680766689,5.52841832190622,5.78266007522753e-06,0.00178353758605946,0.00152827444845299,"DAPK2/CSF3R/STAT5B/C5AR1/VAV1/RIPOR2/PTK2B/IL6R/PREX1/IL17RA/LYN/SIRPA/MYD88/MAPK3/JAML/S100A9/IL1R1/DUSP1/CXCR1/PIK3CD/MAPK1",21
"GO:0030098","lymphocyte differentiation","30/534","490/21273",0.0612244897959184,2.43900481540931,5.17114902065241,7.47132496198083e-06,0.00189235527889622,0.00162151795551552,"STAT3/KLF6/STAT5B/NFIL3/BCL6/VAV1/PTK2B/STAT6/IL6R/RARA/RIPK3/PREX1/FOSL2/PLCG2/HLX/INPP5D/IL18R1/PTPN6/NFAM1/FADD/SMARCD3/CLEC4E/PIK3CD/SEMA4A/GBA1/RASGRP1/CHD7/ZBTB7B/PRKCZ/BCL3",30
"GO:0071674","mononuclear cell migration","21/534","277/21273",0.075812274368231,3.02013953677037,5.43042544757166,7.66070717872291e-06,0.00189235527889622,0.00162151795551552,"ALOX5/NEDD9/C5AR1/RIPOR2/PTK2B/IL6R/RIPK3/CRK/LYN/SIRPA/MAPK3/JAML/CXCL16/DUSP1/FADD/CXCR1/PIK3CD/GBA1/S1PR1/MAPK1/NLRP12",21
"GO:0006913","nucleocytoplasmic transport","25/534","370/21273",0.0675675675675676,2.69169450349226,5.26743730125527,8.18360104859592e-06,0.00189235527889622,0.00162151795551552,"STAT3/XPO6/HCLS1/PRKCD/FRAT1/E2F3/FRAT2/AKIRIN2/MAPK14/KPNB1/PSEN1/HTATIP2/THOC5/RGS14/SIRT7/TXN/ANP32A/PPP1R10/IPO5/NUP50/NUP133/BCL3/NUP98/NFKBIA/STRADA",25
"GO:0051169","nuclear transport","25/534","370/21273",0.0675675675675676,2.69169450349226,5.26743730125527,8.18360104859592e-06,0.00189235527889622,0.00162151795551552,"STAT3/XPO6/HCLS1/PRKCD/FRAT1/E2F3/FRAT2/AKIRIN2/MAPK14/KPNB1/PSEN1/HTATIP2/THOC5/RGS14/SIRT7/TXN/ANP32A/PPP1R10/IPO5/NUP50/NUP133/BCL3/NUP98/NFKBIA/STRADA",25
"GO:0045730","respiratory burst","8/534","42/21273",0.19047619047619,7.58801498127341,6.85764316492025,8.32671382562024e-06,0.00189235527889622,0.00162151795551552,"NCF4/NCF2/SLC11A1/CD55/NCF1/S100A9/HCK/PIK3CD",8
"GO:0002532","production of molecular mediator involved in inflammatory response","14/534","137/21273",0.102189781021898,4.07094234396785,5.78630645518836,9.34012688757192e-06,0.00201653339502678,0.00172792347420081,"STAT3/ALOX5/GPSM3/MEFV/IL17RA/MAPK14/EXTL3/P2RX1/LYN/SIRPA/MYD88/NCF1/S100A9/IL1R2",14
"GO:0045637","regulation of myeloid cell differentiation","20/534","261/21273",0.0766283524904215,3.05264970510999,5.35404828676546,1.07374449100409e-05,0.0022078231962646,0.00189183553176911,"TFE3/STAT3/CSF3R/NEDD9/STAT5B/HCLS1/TRIB1/PTK2B/RARA/LILRB3/MAPK14/INPP5D/LYN/HMGB2/FOS/FADD/ACIN1/RCOR1/ZFP36/NFKBIA",20
"GO:0051170","import into nucleus","16/534","180/21273",0.0888888888888889,3.54107365792759,5.49370348398076,1.31541668082645e-05,0.00253552819426342,0.002172638795455,"STAT3/HCLS1/PRKCD/E2F3/AKIRIN2/MAPK14/KPNB1/PSEN1/HTATIP2/PPP1R10/IPO5/NUP50/NUP133/BCL3/NUP98/NFKBIA",16
"GO:0007249","canonical NF-kappaB signal transduction","25/534","381/21273",0.0656167979002625,2.6139815388245,5.10096010580008,1.35055925122878e-05,0.00253552819426342,0.002172638795455,"STAT3/ARRB2/TNFRSF1A/MAP3K3/FLOT2/TRIM25/CFLAR/PLCG2/TLR2/HACD3/SIRPA/MYD88/FLOT1/USP10/TLR8/FADD/PRKCB/LITAF/CANT1/ZMYND11/AKAP13/PELI1/NLRP12/BCL3/NFKBIA",25
"GO:0097530","granulocyte migration","15/534","162/21273",0.0925925925925926,3.68861839367457,5.51205008002579,1.4998223202322e-05,0.00269843032448443,0.00231222607702464,"DAPK2/CSF3R/C5AR1/VAV1/RIPOR2/PREX1/IL17RA/MYD88/MAPK3/JAML/S100A9/IL1R1/CXCR1/PIK3CD/MAPK1",15
