ID,Description,p.adjust,parent,parentTerm,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,qvalue,geneID,Count,cluster,score,size,term,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0051607,defense response to virus,3.7807343775951998e-19,GO:0051607,defense response to virus,56/605,407/21273,0.137592137592138,4.83801246776453,13.3757027046381,8.33495233155908e-23,3.46207598950865e-19,USP18/IFI44L/OAS2/IFI27/DDX60/OAS3/IFIH1/RSAD2/IFI6/IFIT5/OAS1/MX1/HERC5/IFIT1/EIF2AK2/ISG15/RTP4/OASL/IFIT3/TRIM5/TRIM22/ZBP1/DHX58/RIGI/IFIT2/IFI16/CXCL10/MOV10/TRIM6/IFITM1/PLSCR1/MX2/SHFL/DTX3L/CD40/CXCL9/PML/GBP7/IRF7/TRIM38/STAT2/TLR7/NT5C3A/PARP9/BST2/IFNLR1/SAMHD1/IFNGR1/SERINC3/DDX21/GBP1/ADAR/ISG20/STAT1/TRIM21/BCL2,56,1,18.42242383371838,321,defense response to virus,0.791796875,0.35840000000000005,0
GO:1903900,regulation of viral life cycle,1.41154144499603e-13,GO:1903900,regulation of viral life cycle,29/605,143/21273,0.202797202797203,7.13075189273536,12.5853307671668,6.223727711622711e-17,1.29256997631912e-13,OAS2/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/KPNA2/ADAR/ISG20/ARK2N/TRIM21/BCL2,29,2,12.85030636578569,115,regulation of viral life cycle,0.901375,0.1801111111111111,0
GO:0050792,regulation of viral process,2.18424460236259e-13,GO:1903900,regulation of viral life cycle,32/605,183/21273,0.174863387978142,6.1485435577835,11.9675229601275,1.44460621849377e-16,2.00014601339524e-13,OAS2/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/TRIM14/SP100/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/KPNA2/ADAR/ISG20/STAT1/ARK2N/TRIM21/BCL2,32,2,12.660698728829908,142,regulation of viral process,0.90109375,0.18722222222222218,0.98
GO:0045069,regulation of viral genome replication,5.49351096824353e-13,GO:1903900,regulation of viral life cycle,23/605,90/21273,0.255555555555556,8.98584022038567,12.9891508732691,4.84436593319535e-16,5.030491571681279e-13,OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/ADAR/ISG20/BCL2,23,2,12.26015000404291,80,regulation of viral genome replication,0.90196875,0.17488888888888887,0.976
GO:0019079,viral genome replication,1.49559115978374e-11,GO:1903900,regulation of viral life cycle,26/605,138/21273,0.188405797101449,6.62472152353575,11.3415409667648,1.64857932074927e-14,1.36953557887929e-11,OAS2/IFI27/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/CCL2/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CCL8/CD28/GBP7/TRIM38/BST2/ADAR/ISG20/BCL2,26,2,10.825187110560133,124,viral genome replication,0.94640625,0.23777777777777775,0.839
GO:0045071,negative regulation of viral genome replication,2.6565576913307298e-11,GO:1903900,regulation of viral life cycle,18/605,60/21273,0.3,10.5485950413223,12.6720441525464,3.51396520017293e-14,2.4326502947162e-11,OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/BST2/ISG20,18,2,10.575680748263737,50,negative regulation of viral genome replication,0.882875,0.1874444444444444,0.947
GO:0048525,negative regulation of viral process,5.1355011185021194e-11,GO:1903900,regulation of viral life cycle,23/605,112/21273,0.205357142857143,7.22076446280992,11.2932072617627,7.92515604707117e-14,4.7026565055252394e-11,OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/TRIM14/SP100/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/BST2/ISG20/STAT1/ARK2N/TRIM21,23,2,10.289417171856057,76,negative regulation of viral process,0.882671875,0.2088888888888889,0.938
GO:0034340,response to type I interferon,1.46532236879286e-10,GO:0034340,response to type I interferon,21/605,96/21273,0.21875,7.69168388429752,11.2427211193273,2.58434280210381e-13,1.34181798646074e-10,USP18/OAS2/IFI27/OAS3/IFIH1/OAS1/MX1/IFIT1/ISG15/OASL/ZBP1/SP100/CR2/TRIM6/IFITM1/SHFL/IRF7/STAT2/SAMHD1/ADAR/STAT1,21,3,9.834066820643304,92,response to type I interferon,0.702046875,0.34605555555555556,0
GO:0140888,interferon-mediated signaling pathway,2.70876759186236e-10,NA,NA,23/605,122/21273,0.188524590163934,6.62889852323533,10.667692907959,5.37453887274278e-13,2.4804596949524004e-10,USP18/OAS2/IFI27/OAS3/IFIH1/OAS1/ISG15/OASL/ZBP1/SP100/PARP14/CR2/TRIM6/IFITM1/IRF7/STAT2/PARP9/IFNLR1/SAMHD1/IFNGR1/ADAR/STAT1/JAK2,23,NA,NA,NA,NA,NA,NA,NA
GO:0019058,viral life cycle,1.19042427153776e-9,GO:1903900,regulation of viral life cycle,38/605,356/21273,0.106741573033708,3.75324542668772,8.96298872992282,2.7535257556497198e-12,1.09008961651536e-9,SIGLEC1/OAS2/IFI27/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/CCL2/IFI16/CR2/TRIM6/IFITM1/PLSCR1/SHFL/CCL8/CD28/GBP7/SCARB2/TRIM38/BST2/CHMP5/KPNA2/ADAR/ISG20/ARK2N/TRIM21/CTSL/BCL2/UVRAG,38,2,8.92429822688602,295,viral life cycle,0.9450625,0.21866666666666668,0.909
