"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","56/605","407/21273",0.137592137592138,4.83801246776453,13.3757027046381,8.33495233155908e-23,3.7807343775952e-19,3.46207598950865e-19,"USP18/IFI44L/OAS2/IFI27/DDX60/OAS3/IFIH1/RSAD2/IFI6/IFIT5/OAS1/MX1/HERC5/IFIT1/EIF2AK2/ISG15/RTP4/OASL/IFIT3/TRIM5/TRIM22/ZBP1/DHX58/RIGI/IFIT2/IFI16/CXCL10/MOV10/TRIM6/IFITM1/PLSCR1/MX2/SHFL/DTX3L/CD40/CXCL9/PML/GBP7/IRF7/TRIM38/STAT2/TLR7/NT5C3A/PARP9/BST2/IFNLR1/SAMHD1/IFNGR1/SERINC3/DDX21/GBP1/ADAR/ISG20/STAT1/TRIM21/BCL2",56
"GO:1903900","regulation of viral life cycle","29/605","143/21273",0.202797202797203,7.13075189273536,12.5853307671668,6.22372771162271e-17,1.41154144499603e-13,1.29256997631912e-13,"OAS2/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/KPNA2/ADAR/ISG20/ARK2N/TRIM21/BCL2",29
"GO:0050792","regulation of viral process","32/605","183/21273",0.174863387978142,6.1485435577835,11.9675229601275,1.44460621849377e-16,2.18424460236259e-13,2.00014601339524e-13,"OAS2/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/TRIM14/SP100/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/KPNA2/ADAR/ISG20/STAT1/ARK2N/TRIM21/BCL2",32
"GO:0045069","regulation of viral genome replication","23/605","90/21273",0.255555555555556,8.98584022038567,12.9891508732691,4.84436593319535e-16,5.49351096824353e-13,5.03049157168128e-13,"OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/ADAR/ISG20/BCL2",23
"GO:0019079","viral genome replication","26/605","138/21273",0.188405797101449,6.62472152353575,11.3415409667648,1.64857932074927e-14,1.49559115978374e-11,1.36953557887929e-11,"OAS2/IFI27/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/CCL2/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CCL8/CD28/GBP7/TRIM38/BST2/ADAR/ISG20/BCL2",26
"GO:0045071","negative regulation of viral genome replication","18/605","60/21273",0.3,10.5485950413223,12.6720441525464,3.51396520017293e-14,2.65655769133073e-11,2.4326502947162e-11,"OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/BST2/ISG20",18
"GO:0048525","negative regulation of viral process","23/605","112/21273",0.205357142857143,7.22076446280992,11.2932072617627,7.92515604707117e-14,5.13550111850212e-11,4.70265650552524e-11,"OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/TRIM14/SP100/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/BST2/ISG20/STAT1/ARK2N/TRIM21",23
"GO:0034340","response to type I interferon","21/605","96/21273",0.21875,7.69168388429752,11.2427211193273,2.58434280210381e-13,1.46532236879286e-10,1.34181798646074e-10,"USP18/OAS2/IFI27/OAS3/IFIH1/OAS1/MX1/IFIT1/ISG15/OASL/ZBP1/SP100/CR2/TRIM6/IFITM1/SHFL/IRF7/STAT2/SAMHD1/ADAR/STAT1",21
"GO:0140888","interferon-mediated signaling pathway","23/605","122/21273",0.188524590163934,6.62889852323533,10.667692907959,5.37453887274278e-13,2.70876759186236e-10,2.4804596949524e-10,"USP18/OAS2/IFI27/OAS3/IFIH1/OAS1/ISG15/OASL/ZBP1/SP100/PARP14/CR2/TRIM6/IFITM1/IRF7/STAT2/PARP9/IFNLR1/SAMHD1/IFNGR1/ADAR/STAT1/JAK2",23
"GO:0019058","viral life cycle","38/605","356/21273",0.106741573033708,3.75324542668772,8.96298872992282,2.75352575564972e-12,1.19042427153776e-09,1.09008961651536e-09,"SIGLEC1/OAS2/IFI27/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/CCL2/IFI16/CR2/TRIM6/IFITM1/PLSCR1/SHFL/CCL8/CD28/GBP7/SCARB2/TRIM38/BST2/CHMP5/KPNA2/ADAR/ISG20/ARK2N/TRIM21/CTSL/BCL2/UVRAG",38
