"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","56/483","407/21273",0.137592137592138,6.06003632090589,15.7102002271072,1.06980149939175e-27,4.52846974692526e-24,3.97065272300557e-24,"USP18/IFI44L/OAS2/IFI27/DDX60/OAS3/IFIH1/RSAD2/IFI6/IFIT5/OAS1/MX1/HERC5/IFIT1/EIF2AK2/ISG15/RTP4/OASL/IFIT3/TRIM5/TRIM22/ZBP1/DHX58/RIGI/IFIT2/IFI16/CXCL10/MOV10/TRIM6/IFITM1/PLSCR1/MX2/SHFL/DTX3L/CD40/CXCL9/PML/GBP7/IRF7/TRIM38/STAT2/TLR7/NT5C3A/PARP9/BST2/IFNLR1/SAMHD1/IFNGR1/SERINC3/DDX21/GBP1/ADAR/ISG20/STAT1/TRIM21/BCL2",56
"GO:1903900","regulation of viral life cycle","29/483","143/21273",0.202797202797203,8.93189419276376,14.5059329392864,1.45382717407343e-19,2.8819068871141e-16,2.52691352007766e-16,"OAS2/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/KPNA2/ADAR/ISG20/ARK2N/TRIM21/BCL2",29
"GO:0050792","regulation of viral process","32/483","183/21273",0.174863387978142,7.7015918270373,13.8776429843186,2.0424570426039e-19,2.8819068871141e-16,2.52691352007766e-16,"OAS2/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/TRIM14/SP100/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/KPNA2/ADAR/ISG20/STAT1/ARK2N/TRIM21/BCL2",32
"GO:0045069","regulation of viral genome replication","23/483","90/21273",0.255555555555556,11.2555555555556,14.8606291384268,3.56577018846045e-18,3.77347630193827e-15,3.30865939066093e-15,"OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CD28/GBP7/TRIM38/BST2/ADAR/ISG20/BCL2",23
"GO:0019079","viral genome replication","26/483","138/21273",0.188405797101449,8.29804662885948,13.1097839283135,7.73067915844146e-17,6.54479297553654e-14,5.73860520266623e-14,"OAS2/IFI27/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/CCL2/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/CCL8/CD28/GBP7/TRIM38/BST2/ADAR/ISG20/BCL2",26
"GO:0048525","negative regulation of viral process","23/483","112/21273",0.205357142857143,9.04464285714286,13.0106252805781,6.60007660516522e-16,4.3631927730375e-13,3.825734571159e-13,"OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/TRIM14/SP100/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/BST2/ISG20/STAT1/ARK2N/TRIM21",23
"GO:0045071","negative regulation of viral genome replication","18/483","60/21273",0.3,13.2130434782609,14.4393939450229,7.215296340955e-16,4.3631927730375e-13,3.825734571159e-13,"OAS2/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/IFI16/TRIM6/IFITM1/PLSCR1/SHFL/BST2/ISG20",18
"GO:0016032","viral process","45/483","482/21273",0.0933609958506224,4.11194299116002,10.5333846855957,9.23244132949765e-16,4.88511551847044e-13,4.2833668589222e-13,"SIGLEC1/OAS2/IFI27/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/CCL2/TRIM14/SP100/IFI16/CR2/TRIM6/IFITM1/PLSCR1/SHFL/CCL8/CD28/GBP7/IRF7/SCARB2/TRIM38/PARP9/BST2/CSNK1A1/CHMP5/KPNA2/ADAR/ISG20/STAT1/PEG10/ARK2N/TRIM21/CTSL/BCL2/UVRAG",45
"GO:0019058","viral life cycle","38/483","356/21273",0.106741573033708,4.70127015144113,10.734370192214,2.40898104567819e-15,1.13302408515064e-12,9.93458148194306e-13,"SIGLEC1/OAS2/IFI27/LAMP3/OAS3/IFIH1/RSAD2/IFIT5/OAS1/MX1/IFIT1/EIF2AK2/ISG15/OASL/AXL/TRIM5/CCL2/IFI16/CR2/TRIM6/IFITM1/PLSCR1/SHFL/CCL8/CD28/GBP7/SCARB2/TRIM38/BST2/CHMP5/KPNA2/ADAR/ISG20/ARK2N/TRIM21/CTSL/BCL2/UVRAG",38
"GO:0034340","response to type I interferon","21/483","96/21273",0.21875,9.63451086956522,12.9238414557539,3.17429424851216e-15,1.3436787553952e-12,1.17816437055304e-12,"USP18/OAS2/IFI27/OAS3/IFIH1/OAS1/MX1/IFIT1/ISG15/OASL/ZBP1/SP100/CR2/TRIM6/IFITM1/SHFL/IRF7/STAT2/SAMHD1/ADAR/STAT1",21
