"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","27/340","173/9369",0.15606936416185,4.30062903774227,8.5028273228185,1.09523889030556e-10,3.3076214487228e-08,2.77844813224885e-08,"4939/64135/4940/91543/4938/4599/5610/6347/23586/3627/3111/3112/4600/51284/6773/5371/3665/841/3838/3717/3459/6772/103/5594/10241/8743/7124",27
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","29/340","205/9369",0.141463414634146,3.89814921090387,8.14138334916346,2.48789788050156e-10,3.75672579955735e-08,3.15570204842566e-08,"4939/4940/4938/5610/9636/23586/3627/1380/3111/29760/3112/958/930/6773/3665/6890/5608/841/6772/7188/596/5701/4616/1647/8819/10213/2208/7124/5707",29
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","11/340","38/9369",0.289473684210526,7.97670278637771,8.36220863111144,6.11222046904814e-08,6.15296860550846e-06,5.16857941417755e-06,"29760/958/930/6890/959/100/3575/925/115650/973/3932",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","17/340","100/9369",0.17,4.6845,7.18795240589287,9.42321726691718e-08,7.11452903652247e-06,5.97630358243958e-06,"10563/6347/3627/4283/1235/6354/6373/6355/643/1230/6357/6387/3559/1236/56477/8743/7124",17
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","23/340","180/9369",0.127777777777778,3.52102941176471,6.62709371785433,1.31269719525148e-07,7.92869105931893e-06,6.6602110327496e-06,"4939/64135/4940/4938/5610/6347/6672/23586/3111/3112/330/6773/5371/3665/6890/841/3717/684/3459/6772/7188/596/7124",23
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","16/340","105/9369",0.152380952380952,4.19899159663866,6.39663468471583,1.05362213215144e-06,5.30323139849558e-05,4.45478831313152e-05,"23586/29760/330/958/959/115650/6357/5335/142/7188/6387/3932/596/4616/1647/7124",16
"Human Diseases","Infectious disease: viral","hsa05162","Measles","18/340","136/9369",0.132352941176471,3.64710207612457,6.03409020284895,1.86941418113809e-06,8.06518689576719e-05,6.77486943841022e-05,"4939/64135/4940/4938/4599/5610/23586/4600/51284/940/6773/3665/841/6772/103/596/3559/30835",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","28/340","298/9369",0.0939597315436242,2.58914330833004,5.40986820649587,3.53513166064248e-06,0.000133451220189253,0.000112100885554584,"10563/6347/3627/4283/1235/6354/958/6373/6355/7850/643/959/3575/115650/1230/6357/3604/163702/608/3459/6387/3559/268/1236/56477/284340/8743/7124",28
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","10/340","50/9369",0.2,5.51117647058824,6.20630673171834,9.76853463994975e-06,0.000327788606807203,0.000275346999792736,"3111/3112/958/940/959/115650/608/6387/942/56477",10
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","23/340","238/9369",0.0966386554621849,2.66296342066238,5.04260646819969,1.70836526680439e-05,0.000515926310574925,0.00043338529399985,"4939/64135/4940/4938/4599/5610/9636/6347/23586/3627/717/4600/51284/6773/713/5335/6772/714/103/5594/712/7124/6192",23
