"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"FIGAROL_EGFR_TKI_DRUG_TOLERANT_CELL_DN","FIGAROL_EGFR_TKI_DRUG_TOLERANT_CELL_DN",488,0.6510793841488,1.89059637642567,2.04044694989832e-15,1.28915438294576e-11,9.96812030997694e-12,2198,"tags=34%, list=12%, signal=30%","SOX2/KPNA2/CCNB1/KIF14/TOP2A/TUBA1B/TRIP13/DUSP5/FOXM1/CDK1/BUB1/BUB1B/AURKA/KIF11/KIF20A/CCNB2/DNMT1/CDC20/TICRR/ANLN/HNRNPA2B1/HNRNPM/RAD51/MYBL2/CDKN3/NME1/RAD54L/SPAG5/PARP1/MAPK13/PRC1/SMC2/ORC1/BIRC5/ENO1/HNRNPAB/CIT/PLK1/CHEK1/CDC6/TPX2/KIF23/TMPO/CDCA7/KIFC1/DUSP6/MTHFD1/TIMELESS/SMC3/MKI67/CSTF2/CDCA8/PCNA/FEN1/MCM4/UBE2T/PLK4/CENPE/EXO1/WDR76/TRIB2/STMN3/HMMR/MSH2/HNRNPA3/TONSL/SSRP1/MELK/SMC6/RRM2/CHEK2/BARD1/CDC25A/CDC45/MAD2L1/ANKRD22/BRCA2/RACGAP1/PBK/CCNA2/NUP205/MCM6/ATAD2/AURKB/ACSL5/CCNF/POLA1/ASF1B/MCM2/SMC4/STAMBPL1/NDC80/CDC7/LAMP3/ESPL1/TAF5/PLK3/MCM7/MYB/SCD/HNRNPF/ASPM/F12/GAPDH/DHRS13/NCAPG/MCM3/NCAPH/RRM1/TUBG1/INSIG1/POLD3/CKS1B/DHCR24/TUBB4B/IMPA2/MSH6/BLM/CHAF1B/CCNE1/SDC1/ARHGAP11A/UBE2S/WDHD1/CENPF/CEP128/EME1/XRCC3/CENPO/DNAJC9/KIF15/NUF2/BRIP1/SHMT1/UTP18/MCM10/TMT1B/ILF3/MNS1/NUP37/POLE/CEP55/HMGCS1/MPHOSPH9/NUP62/RAPGEF5/FASN/TYMS/DTL/SMC1A/LDLR/NT5E/UBASH3B/TCF19/LIPG/ESCO2/TPI1/TACC3/LIG1/KIF20B/NASP/FANCI/TIPIN/GTSE1"
"VECCHI_GASTRIC_CANCER_EARLY_UP","VECCHI_GASTRIC_CANCER_EARLY_UP",408,0.640759130672436,1.84584195969364,5.74109816054182e-12,1.81361290891516e-08,1.40233876647761e-08,1489,"tags=23%, list=8%, signal=22%","EPHB2/CCNB1/TUBA4A/ISG15/KIF14/TOP2A/TRIP13/EFTUD2/FOXM1/CDK1/BUB1/HSPA8/BUB1B/AURKA/KIF20A/CCNB2/CDC20/EZH2/ANLN/MYBL2/CDKN3/NME1/XPO5/PRC1/BIRC5/ENO1/CHEK1/CDC6/TPX2/GTPBP4/CDCA7/KNL1/MKI67/HSPH1/FEN1/MCM4/NUP93/UBE2T/CDK6/KRT18/HMMR/SMARCA4/MELK/RRM2/BARD1/JUP/MAD2L1/RACGAP1/CDC34/PBK/CCNA2/NCBP2/ATAD2/PRMT1/SPTAN1/MCM2/SMC4/STAMBPL1/PMEPA1/NDC80/IFI6/RNF123/MTHFD1L/KDM1B/ARL5B/MCM7/MYB/PARPBP/NUP155/PABPC1L/ASPM/CFTR/EIF3B/MMP7/F12/NCAPG/PGRMC1/GINS1/MUC13/POLD3/CKS1B/RRS1/MTCH2/CHI3L1/NSD2/BMS1/CCNE1/KIF26B/PDP1/WDR77/CENPF/RUVBL2/KIF15/NUF2/BRIP1"
"WINNEPENNINCKX_MELANOMA_METASTASIS_UP","WINNEPENNINCKX_MELANOMA_METASTASIS_UP",159,0.763435516889374,2.04882708336118,8.70622880315731e-12,1.83353178594493e-08,1.41774062720888e-08,1239,"tags=34%, list=7%, signal=32%","HSPA4/HSPA5/KPNA2/CCNB1/CCT5/TOP2A/HSPD1/CDK1/BUB1/AURKA/KIF11/CCNB2/DNAJA1/ANLN/CDKN3/NME1/SMARCA5/RAD54L/DDX18/SPAG5/PRC1/SMC2/BIRC5/CHEK1/CDC6/XPO1/TIMELESS/CDCA8/PCNA/MCM4/UBE2T/TARS1/EXO1/MELK/RRM2/CREM/CDC45/RACGAP1/MCM6/ATAD2/NDC80/NCBP1/PARPBP/TCOF1/ASPM/UBFD1/NCAPG/ARF4/NCAPH/IMMT/PWP1/CKS1B/MSH6/NSD2"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",152,0.761294301217912,2.04055587641066,2.13874389288212e-11,2.70251678304584e-08,2.08966534881388e-08,1071,"tags=39%, list=6%, signal=37%","TUBA1A/KPNA2/CCNB1/CCT5/TUBA1C/KIF14/TOP2A/TUBA1B/TRIP13/FOXM1/CDK1/BUB1/BUB1B/AURKA/KIF11/KIF20A/CCNB2/CDC20/EZH2/RAD51/MYBL2/CDKN3/NME1/SPAG5/PRC1/BIRC5/PLK1/CHEK1/TPX2/GTPBP4/TMPO/KIFC1/TIMELESS/MKI67/CDCA8/FEN1/MCM4/NUP93/CENPE/EXO1/HMMR/MELK/RRM2/CDC25A/CDC45/MAD2L1/RACGAP1/CCNA2/MCM6/AURKB/MCM2/NDC80/ESPL1/PARPBP/ASPM/NCAPG/MCM3/GINS1/PFDN6/NCAPH"
"SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6","SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6",448,0.62160926447025,1.79567651554261,1.90853834781121e-11,2.70251678304584e-08,2.08966534881388e-08,2053,"tags=32%, list=12%, signal=29%","KPNA2/CCNB1/CCT5/TUBA4A/NRAS/KIF14/TOP2A/TRIP13/FOXM1/CDK1/BUB1/BUB1B/AURKA/KIF11/KIF20A/CCNB2/CDC20/EZH2/DNAJA1/MYBL2/CDKN3/NME1/RAD54L/PLIN2/VRK2/ERN1/YME1L1/SPAG5/PRC1/SMC2/ORC1/RIPK2/BIRC5/PSMB2/CHEK1/CDC6/TPX2/KIF23/MRPL19/PSMA5/TEAD4/MKI67/CDCA8/PCNA/MCM4/PLK4/YEATS2/CENPE/EXO1/WDR76/HMMR/COL2A1/UBE2K/MELK/SMC6/RRM2/CDC25A/CAD/CDC45/MAD2L1/BRCA2/RACGAP1/PBK/CCNA2/PYGL/EIF5B/MCM6/PPM1G/HDAC2/ATAD2/AURKB/PRMT1/DARS1/NDC80/CDC7/GCH1/AGPAT5/GNAS/DNM1L/NCBP1/NDUFA9/H2BC11/PARPBP/SCD/ASPM/DSP/F12/GAPDH/WARS1/LDHC/MTHFD2/NCAPG/CDKN2D/SYNCRIP/CDC27/GINS1/NCAPH/WASF1/TCP1/TUBG1/MTCH2/MSH6/NSD2/CCNE1/PPIF/RIF1/PKP2/CSNK1D/UBE2S/PPARD/WDHD1/CENPF/RUVBL2/TUBA3C/XRCC3/DNAJC9/KIF15/BRIP1/CCNE2/PPID/MCM10/FCHO1/RC3H2/NUP37/PVR/CEP55/KLC1/MPHOSPH9/MOB1A/RAN/UBA6/NUP62/TOMM40/UBE2D1/PITX1/TYMS/YKT6/DTL/STMN1/PKM/XPNPEP1/CCL7"
"TARTE_PLASMA_CELL_VS_PLASMABLAST_DN","TARTE_PLASMA_CELL_VS_PLASMABLAST_DN",300,0.662818765495806,1.86649904461918,1.45069396848843e-10,1.52758074881832e-07,1.18117029960611e-07,1437,"tags=30%, list=8%, signal=28%","HSPA4/TUBA1A/KPNA2/CCNB1/CCT5/TUBA4A/HSPA9/KIF14/MAPK1/DNAJC7/PSMD14/GNL2/TOP2A/TRIP13/SGK1/FOXM1/CDK1/KIF11/CDC20/VDAC1/EZH2/CDKN3/NME1/EED/ORC1/CD180/PSMB2/UQCRC2/CDC6/KIF23/TMPO/BRD8/MRPL19/KIFC1/MTHFD1/PSMA5/MKI67/PCNA/GART/PLK4/CENPE/TARS1/HMMR/PSMC5/SMARCA4/RB1/RRM2/MAD2L1/CCNA2/EIF2S1/CCNF/HUWE1/PRPS2/IFI30/MAPK6/PSMA3/FH/PPP4C/ESPL1/UBE2D3/NDUFA9/XRCC6/YARS1/CCT6A/SUMO2/PHB1/WARS1/IDH2/MTHFD2/ATP1B3/MCM3/CDC27/ACVR1/UFD1/GINS1/LILRB4/NDUFS1/EIF3A/TCP1/RRM1/TUBG1/PWP1/CKS1B/DHCR24/CCNE1/PPIF/UBE2S/USP14/FDPS/SNRPB2/CAPRIN1"
"CHICAS_RB1_TARGETS_GROWING","CHICAS_RB1_TARGETS_GROWING",237,0.688096674587783,1.90675311534576,1.87077097284233e-10,1.68850442948827e-07,1.30560121578365e-07,1530,"tags=33%, list=9%, signal=31%","AXL/EGR1/CCNB1/KIF14/TOP2A/FOXM1/BUB1/BUB1B/KIF20A/CCNB2/CDC20/RBBP8/NR2F2/BGN/SUPT16H/EZH2/CAV1/ALDH1L2/NIBAN1/CDKN3/SMARCC1/SMC2/TPX2/TMPO/SLIT2/CDCA7/KNL1/TIMELESS/SMC3/CDCA8/VAT1L/MCM4/COL3A1/MYLK/POSTN/LTBP2/ATRX/STMN3/HMMR/MSH2/SSRP1/KCNMA1/SULF1/RALGPS2/CCNA2/PYGL/MCM6/EZR/MCM2/SMC4/CDC7/MCM7/CLU/SCD/ANPEP/IFI16/ASPM/IDH2/MCM3/ELOVL2/GINS1/CDCA7L/NAV2/TTC3/DHCR24/RGS4/IMPA2/MSH6/NSD2/DPYSL3/RIF1/MEIS2/CENPF/CXCL12/DNAJC9/PGAP1/PRICKLE1/RNF138/CCNE2"
"HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS",90,0.809935431754044,2.04594318853168,5.87096406073524e-10,4.63659386696566e-07,3.58515055340424e-07,1729,"tags=50%, list=10%, signal=45%","EGR1/ISG15/DDX60/OASL/SIGLEC1/STAT1/LGALS3BP/MYL9/C1QA/C1QB/RIGI/EGR2/IFI27/IFIT5/XAF1/MGAM/MX1/IFIT1/IFI44L/SAMD9/SAMD9L/CD163/IFIT3/EIF2AK2/CYP4F3/LAP3/IFI44/PNPT1/JUP/IFI35/IFIT2/IFI6/LAMP3/CLU/DHX58/FCER1A/CCL2/CHI3L1/DTX3L/MMP9/C3AR1/C1QC/ITGA2B/PLSCR1/HERC5"
"GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP","GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP",183,0.708369348612539,1.93465222140657,8.951684931055e-10,5.65567453944055e-07,4.37313365947645e-07,1596,"tags=35%, list=9%, signal=32%","KPNA2/CCNB1/TOP2A/TRIP13/CDK1/BUB1/BUB1B/AURKA/KIF11/KIF20A/CCNB2/CDC20/EZH2/RAD51/CDKN3/SPAG5/PRC1/SMC2/BIRC5/CHEK1/CDC6/TPX2/LRRC59/PRKAR2B/PRDX2/FEN1/MCM4/MRPS15/HMMR/MELK/RRM2/CDC45/MAD2L1/RACGAP1/PBK/CCNA2/HGF/ACTN1/AURKB/MCM2/NDC80/CDC7/ESPL1/TPM1/AQP3/ASPM/IDH2/NCAPG/SYNCRIP/GINS1/CCL2/RRM1/HBB/CKS1B/CCNE1/PPIF/UBE2S/CENPF/PRDX4/HDC/KIF15/CCNE2/MCM10/ITGA2B"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",316,0.644438511099433,1.82324870832746,8.64409187951306e-10,5.65567453944055e-07,4.37313365947645e-07,1548,"tags=27%, list=9%, signal=25%","JAK2/TOP2A/TRIP13/FOXM1/CDK1/BUB1/BUB1B/AURKA/KIF11/CCNB2/DNMT1/RBBP8/TICRR/ANLN/RERG/RAD51/MYBL2/NME1/DDX10/RAD54L/SPAG5/PRC1/SMC2/BIRC5/CIT/PLK1/CHEK1/CDC6/TPX2/KIF23/TMPO/CDCA7/KNL1/KIFC1/MTHFD1/TIMELESS/MKI67/PCNA/FEN1/MCM4/UBE2T/PLK4/EXO1/WDR76/TONSL/SULF1/MELK/RRM2/BARD1/CDC45/BRCA2/RACGAP1/PBK/CCNA2/MCM6/ATAD2/AURKB/POLA1/ASF1B/MCM2/ESPL1/MCM7/MYB/ASPM/BCL2/NCAPG/MCM3/ELOVL2/GINS1/CDCA7L/NCAPH/RRM1/POLD3/IMPA2/BLM/CHAF1B/ARHGAP11A/PPIF/WDHD1/CXCL12/XRCC3/CENPO/EPS15L1/BRIP1/CCNE2/MCM10"
