"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",197,0.827412865795436,2.05623670976671,8.50173993781368e-21,4.25086996890684e-19,2.86374397905303e-19,1423,"tags=44%, list=8%, signal=41%","ISG15/OASL/IFIT1/IFIT3/IFIT2/RIGI/MX1/XAF1/IFI35/RNF213/IFIH1/UBE2L6/DDX60/IFI27/IRF7/MYD88/DHX58/HELZ2/LGALS3BP/SAMD9L/IFI44/PML/MX2/JAK2/IFI44L/TRIM14/USP18/PSMB8/STAT1/STAT2/LCP2/TRAFD1/PTPN1/TAP1/EIF2AK2/IRF4/RIPK2/PSMB2/PSMA3/PNPT1/BATF2/NFKB1/HLA-DRB1/CASP1/TRIM21/LAP3/CASP3/SLAMF7/TDRD7/IRF5/ARL4A/HIF1A/CDKN1A/CMTR1/B2M/SP110/GZMA/PLSCR1/IFITM3/ISG20/CD74/ADAR/IRF1/RSAD2/SOCS1/CCL2/IRF2/IFI30/NUP93/NOD1/SERPING1/CFB/FCGR1A/NFKBIA/CMPK2/TRIM25/TNFAIP6/PSMB9/CD40/TRIM26/PTPN2/OAS3/CASP7/PFKP/VAMP5/PARP12"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",96,0.878246175349014,2.07990089826808,2.65051592196441e-14,6.62628980491104e-13,4.46402681594007e-13,953,"tags=54%, list=5%, signal=52%","ISG15/OASL/IFIT3/IFIT2/MX1/IFI35/IFIH1/UBE2L6/DDX60/IFI27/IRF7/MOV10/DHX58/HELZ2/LGALS3BP/SAMD9L/IFI44/IFI44L/TRIM14/USP18/PSMB8/IFITM1/STAT2/SAMD9/TRAFD1/TAP1/UBA7/EIF2AK2/RIPK2/PSMA3/TRIM5/PNPT1/BATF2/CASP1/TRIM21/LAP3/TDRD7/CMTR1/B2M/SP110/LAMP3/PLSCR1/IFITM3/ISG20/CD74/ADAR/IRF1/RSAD2/CNP/IRF2/IFI30/CCRL2"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,0.698694423639733,1.73635337591246,1.36226577735026e-07,2.27044296225043e-06,1.52956157456871e-06,2589,"tags=49%, list=15%, signal=43%","CDC20/EZH2/CUL1/AURKB/PLK1/NDC80/PML/MYC/PRC1/CENPA/BIRC5/CUL3/KPNA2/CCNB2/CDK4/TOP2A/CDK1/RAD54L/AURKA/CTCF/BUB1/UBE2S/UBE2C/MKI67/CCNF/KPNB1/HIF1A/ATRX/MCM2/H2AZ2/CDKN3/STMN1/DDX39A/MYBL2/NSD2/HMGN2/SMAD3/SQLE/PBK/HSPA8/TPX2/ESPL1/CDC45/CDC6/KATNA1/CHEK1/KNL1/BRCA2/LMNB1/MCM6/HMMR/XPO1/RAD21/MCM3/EXO1/SUV39H1/E2F1/GSPT1/FOXN3/TTK/CCNA2/RPA2/E2F2/CKS2/EWSR1/ARID4A/MEIS1/HNRNPU/KIF15/HIRA/NUMA1/RPS6KA5/KIF11/CDC25A/CDC27/KIF5B/POLE/MT2A/LBR/GINS2/CKS1B/ILF3/UCK2/PLK4/CCND1/CBX1/KIF23/KIF2C/CCNT1/CENPF/ODF2/ABL1/STIL/KIF4A/CDKN1B/SLC7A1/ATF5"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.673889207857739,1.67584595121028,2.6696126966496e-06,3.337015870812e-05,2.24809490244177e-05,2360,"tags=42%, list=13%, signal=36%","CDC20/EZH2/TUBB/AURKB/SPAG5/PLK1/UBE2T/MYC/BIRC5/PCNA/PRKDC/KPNA2/CCNB2/CDK4/CDCA8/TOP2A/CDK1/BRCA1/TIMELESS/AURKA/CTCF/TRIP13/UBE2S/MKI67/MELK/CDKN1A/NME1/MCM2/CDKN3/STMN1/DDX39A/MYBL2/RAD51C/RPA1/MCM7/DCTPP1/MCM4/CCNE1/CHEK2/PPM1D/ESPL1/NOP56/SSRP1/DNMT1/BUB1B/RFC2/CHEK1/BRCA2/LMNB1/MCM6/TUBG1/HMMR/RRM2/NBN/XPO1/RAD21/MCM3/PRDX4/SUV39H1/CIT/GSPT1/RPA2/CKS2/KIF18B/GINS1/NAP1L1/CDC25A/POLE/LBR/CKS1B/SNRPB/DSCC1/ORC2/ILF3/LIG1/DLGAP5/PLK4/XRCC6/PNN/KIF2C/PAN2/GINS4/TCF19"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,0.641723072782153,1.5959916934413,5.31209037301442e-05,0.000531209037301442,0.000357867140918866,1813,"tags=39%, list=10%, signal=36%","CDC20/CUL1/YWHAE/MYC/PCNA/PSMA4/KPNA2/CDK4/COPS5/PSMB2/RPLP0/TCP1/NHP2/HDAC2/CNBP/LDHA/PABPC4/RACK1/RPS3/PPM1G/PHB1/RPS5/RPL18/KPNB1/CANX/NME1/SLC25A3/MCM2/PSMD14/PABPC1/PSMA6/IMPDH2/VDAC3/MCM7/HSPD1/MCM4/CCT5/PSMD7/CDC45/NOP56/CCT7/CCT4/PSMC4/PSMA1/HSP90AB1/MCM6/PSMA7/VDAC1/XPO1/PRDX4/RFC4/EIF2S2/GSPT1/COX5A/FBL/PSMD8/SRPK1/EIF3B/CCNA2/CAD/RPL22/PSMA2/PSMD3/RPS10/HDGF/SF3B3/NDUFAB1/DDX21/PSMC6/HNRNPU/VBP1/UBE2L3/SNRPB2/SNRPG/EIF4H/NAP1L1/LSM7/CCT3"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,0.61152097417728,1.52087783118154,0.000641567998758463,0.00534639998965386,0.00360178525618786,1836,"tags=29%, list=10%, signal=26%","GSK3B/PLK1/HSP90B1/TBK1/HSPA5/PSMA4/HSPA4/COPS5/AURKA/PSMA3/BUB1/LDHA/CCNF/CANX/ACTR3/PRDX1/CDKN1A/ACTR2/MCM2/PSMD14/DDX39A/ENO1/RPA1/DDIT3/CYP51A1/HSPD1/PSMB5/MCM4/SHMT2/SQLE/AK4/SCD/PSMC2/PSMC4/UBE2D3/NUPR1/STIP1/IFI30/GSR/CALR/TUBG1/TPI1/GLRX/RRM2/EIF2S2/P4HA1/TES/ATP2A2/GBE1/GAPDH/INSIG1/PSMC6/GOT1/WARS1/CDC25A/GPI/IDH1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",102,0.649269428538521,1.54672065121831,0.0041360062437549,0.0271424348851831,0.0182854298173865,1109,"tags=27%, list=6%, signal=26%","EGFR/GSK3B/YWHAB/MYD88/HSP90B1/LCK/TBK1/STAT2/MAPK1/CDK4/CDK1/MAPK8/MAP3K7/ACTR3/CDKN1A/ACTR2/DDIT3/PTEN/CLTC/PTPN11/PRKAG1/UBE2D3/NOD1/CALR/AP2M1/PLCG1/E2F1/FASLG"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,0.573546662010377,1.42534368263192,0.0047267592927762,0.0271424348851831,0.0182854298173865,2536,"tags=33%, list=14%, signal=29%","CDC42/YWHAE/TSC1/PLK1/NDC80/PRC1/BIRC5/SYNPO/CCNB2/TOP2A/CDK1/AURKA/MAPRE1/BUB1/ALS2/PCNT/ANLN/CEP192/DST/TPX2/ESPL1/PALLD/KATNA1/DOCK4/BRCA2/LMNB1/WASF1/RASA1/EZR/ALMS1/TTK/SPTAN1/FLNB/TRIO/PDLIM5/KIF15/NUMA1/ROCK1/KIF11/RAPGEF6/DLG1/CDC27/ARHGAP29/KIF5B/DYNC1H1/STK38L/PIF1/BCAR1/ARFGEF1/NF1/APC/CAPZB/HDAC6/RICTOR/DLGAP5/RAPGEF5/KIF23/KIF2C/CEP250/CENPF/ABL1/ITSN1/LATS1/ECT2/KIF4A"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",197,0.571679659343893,1.42070391984993,0.00488563827933295,0.0271424348851831,0.0182854298173865,2080,"tags=21%, list=12%, signal=19%","EGFR/AGRN/ENO2/CENPA/HSPA5/KIF20A/CDK1/AURKA/LDHA/IRS2/SOX9/PKM/CYB5A/POLR3K/STMN1/ENO1/GAPDHS/ISG20/LDHC/AK4/ALDH7A1/SDC1/PSMC4/MDH2/HMMR/NSDHL/TPI1/GLRX/PPP2CB/P4HA1/VCAN/PFKP/NT5E/TKTL1/ANGPTL4/SOD1/GOT1/IDH1/ZNF292/MXI1/GOT2"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",198,0.571879820728453,1.42139115587574,0.00742771258795752,0.0371385629397876,0.0250196634541727,1898,"tags=26%, list=11%, signal=24%","EGFR/IRF7/JAK2/LCK/STAT1/LCP2/TNF/HLA-DOB/TAP1/IRF4/RIPK2/BRCA1/CD3D/RPS19/CCR1/MAP3K7/HIF1A/NME1/B2M/GZMA/ELANE/IKBKB/CD74/TAP2/HLA-DMB/HLA-DRA/IL12RB1/KLRD1/SOCS1/CCL2/RPS3A/RPS9/C2/FASLG/AARS1/CD8A/CD40/ACVR2A/PRF1/APBB1/UBE2N/ITK/GZMB/CD79A/CD40LG/EIF5A/HLA-DOA/CD2/WARS1/IRF8/CCL13/ICOSLG"
