"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",96,-0.837753890375544,-2.25094898263912,4.06773628026872e-13,2.03386814013436e-11,1.54145795883867e-11,1967,"tags=62%, list=11%, signal=56%","CCRL2/TENT5A/B2M/NUB1/RNF31/CMPK2/HELZ2/CNP/PSME2/SP110/RSAD2/PSMB9/CD74/WARS1/TRIM21/ADAR/ISG20/CMTR1/PSMA3/SELL/IFITM3/TDRD7/PLSCR1/CASP1/LAMP3/LAP3/BATF2/IRF2/IFI30/IRF7/PNPT1/TAP1/TRIM5/EIF2AK2/IFITM1/IFI27/TRIM14/UBA7/IFI44L/USP18/IRF1/IFI44/SAMD9/TRAFD1/DHX58/STAT2/LGALS3BP/RIPK2/PSMB8/SAMD9L/IFI35/MX1/MOV10/DDX60/IFIH1/IFIT2/UBE2L6/IFIT3/ISG15/OASL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",197,-0.719506180953064,-2.12808574346191,3.98336640486703e-12,9.95841601216758e-11,7.54743108290595e-11,1798,"tags=44%, list=10%, signal=40%","OAS3/FGL2/PTPN6/NCOA3/RNF31/CMPK2/HELZ2/PSME2/SP110/VAMP8/GZMA/MTHFD2/NLRC5/RSAD2/PSMB9/PFKP/STAT3/CD74/GCH1/NUP93/VAMP5/WARS1/SERPING1/TRIM21/CCL2/ADAR/ISG20/CMTR1/PSMA3/HLA-DRB1/TNFAIP6/CASP7/EIF4E3/IFITM3/TDRD7/IRF5/PLSCR1/CASP1/LAP3/BATF2/IRF2/MYD88/XCL1/PML/IFI30/PTPN2/IRF7/PNPT1/SLAMF7/FCGR1A/TAP1/MX2/EIF2AK2/IFI27/VCAM1/TRIM14/CDKN1A/IFI44L/USP18/IRF1/IFI44/TRAFD1/DHX58/STAT2/CASP3/LGALS3BP/RIPK2/PSMB8/SAMD9L/CFB/IRF4/IFI35/MX1/RIPK1/DDX60/IFIH1/IFIT2/XAF1/STAT1/RIGI/UBE2L6/JAK2/RNF213/IFIT1/IFIT3/ISG15/OASL"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,-0.63445335002894,-1.87652471212935,4.44131337491937e-07,7.40218895819895e-06,5.61008005252973e-06,1369,"tags=37%, list=8%, signal=34%","KIF5B/CCND1/KIF4A/KIF15/CBX1/CCNB2/CENPF/CCNF/CDC7/EGF/KPNB1/MEIS2/ILF3/H2AZ2/SMC4/HMGB3/ODF2/RACGAP1/CDKN1B/ATRX/SMAD3/RAD23B/MCM2/BRCA2/STIL/UBE2S/CKS1B/LMNB1/HNRNPU/ESPL1/MAPK14/PML/TPX2/MYBL2/CDKN2C/CDC45/TOP1/POLE/NUMA1/MAD2L1/DDX39A/KIF23/CENPE/CDC6/AURKB/MKI67/KPNA2/CUL3/PLK4/NEK2/HMMR/KNL1/CCNA2/CHEK1/CENPA/CDKN3/CDC25A/BIRC5/BUB1/HMGN2/CDC20/KIF11/AURKA/EZH2/TOP2A/PRC1/NDC80/PLK1/RAD54L/PBK/CUL1/CDK1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,-0.556216013314855,-1.64512188992269,0.000167630498536778,0.00209538123170972,0.00158807840719053,1603,"tags=24%, list=9%, signal=22%","KIF2C/PLEKHG2/TTK/DLGAP5/NIN/SOS1/KIF5B/MYO1E/KIF4A/KIF15/SUN2/CCNB2/CENPF/ITSN1/YWHAE/SMC4/VCL/RACGAP1/TUBA4A/MAPRE1/BRCA2/DYNLL2/LMNB1/ESPL1/TPX2/ECT2/NUMA1/CTTN/RHOF/KIF23/CENPE/ALS2/NEK2/HDAC6/BIRC5/BUB1/KIF11/AURKA/TOP2A/PRC1/NDC80/ANLN/DOCK4/PLK1/BCAR1/CDC42/CDK1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.54836581878552,-1.62307873619495,0.000550526003462838,0.00550526003462838,0.00417240760519204,1360,"tags=31%, list=8%, signal=29%","MTHFD2/SNRPB/DIAPH3/LIG1/KIF4A/CCNB2/RFC2/ASF1B/ILF3/TUBG1/TIPIN/SMC4/NAA38/HMGB3/RACGAP1/ING3/CDKN1B/EED/POLD1/CIT/TRIP13/MCM2/KIF18B/SPAG5/BRCA2/UBE2S/CKS1B/LMNB1/ESPL1/PCNA/TIMELESS/MYBL2/CDCA8/CDKN2C/DSCC1/POLE/MAD2L1/RRM2/DDX39A/CENPE/CCNE1/MCM4/AURKB/MKI67/KPNA2/CDKN1A/PLK4/HMMR/CHEK1/UBE2T/MELK/CDKN3/CDC25A/BIRC5/CDC20/NME1/AURKA/BUB1B/EZH2/TOP2A/PLK1/CDK1"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",198,-0.529089206792069,-1.56587624473654,0.00154189280720733,0.0128491067267277,0.00973827036130945,2292,"tags=27%, list=13%, signal=24%","ASS1/RAB31/BLVRB/MICB/IMPA2/DNAJC12/FRK/ETFB/JAK1/FABP5/PLXNB1/SLC27A2/ID2/PTPN6/CISH/GINS2/RET/CD9/CCNA1/PLAAT3/CCND1/IDH2/MYOF/KRT19/DUSP2/TPSAB1/BCL2/ISG20/ACOX2/ALDH3A2/PRKAR2B/ABCA3/AFF1/CYP26B1/STIL/KLK11/FGFR3/MYB/RPS6KA2/SCUBE2/CDC6/KLF4/DLG5/SFN/PLK4/FOS/RBBP8/CDC20/KIF20A/TOP2A/CAV1/JAK2/HSPA4L"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,0.515132536371345,1.53314392979742,0.00203166262791832,0.0145118759137023,0.0109984743767007,1759,"tags=38%, list=10%, signal=34%","CDK2/TCP1/DDX21/RPS6/HSP90AB1/DHX15/CCT4/RPS10/EIF4A1/UBE2L3/EPRS1/PABPC1/PA2G4/GSPT1/CDK4/XRCC6/CANX/SF3A1/GOT2/CSTF2/RPL6/EIF4G2/PSMD1/SNRPA1/LDHA/RPL34/C1QBP/CTPS1/RPS3/SF3B3/PSMD7/HDGF/ABCE1/CCT3/PSMA7/NOP56/CCT7/SNRPD2/RPLP0/RACK1/PCBP1/PSMC6/NCBP1/UBA2/NHP2/SRSF1/NOLC1/VDAC1/CCT2/XPO1/G3BP1/EIF4H/EEF1B2/HDAC2/IMPDH2/PWP1/KARS1/PPM1G/EIF3B/IARS1/RPL14/MRPL9/PGK1/SMARCC1/TFDP1/RSL1D1/SRPK1/SYNCRIP/EXOSC7/PSMA2/VDAC3/IFRD1/XPOT/PRDX3/GNL3"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",198,-0.504096566614217,-1.49190879076969,0.00454523905876716,0.0284077441172948,0.021530079752055,1866,"tags=23%, list=10%, signal=21%","RPL3L/B2M/BRCA1/PTPN6/BCAT1/CCL13/IL4/TRAF2/GZMA/TLR2/CCR5/KLRD1/CCND2/CD74/ACVR2A/EIF4G3/HLA-DRA/WARS1/CCL2/LYN/MTIF2/TNF/IL12RB1/F2R/ZAP70/C2/MAP3K7/TAP2/APBB1/FASLG/CCR1/IRF7/CTSS/TAP1/RPS9/AKT1/PRF1/RIPK2/GZMB/IRF4/UBE2D1/NME1/STAT1/JAK2/EGFR"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",197,-0.484014259193573,-1.43157052974547,0.00543047731132674,0.0301693183962597,0.0228651676266389,1505,"tags=25%, list=8%, signal=24%","C4BPB/CP/CLU/PPP4C/PLAT/C1QC/GNGT2/PSEN1/APOBEC3F/GZMA/LGALS3/F8/NOTCH4/CTSC/APOBEC3G/PSMB9/S100A12/GNAI3/ZFPM2/F10/GNB4/GRB2/PLG/SERPING1/CASP10/GP1BA/LYN/CASP7/GNG2/PLSCR1/C2/CASP1/ANXA5/LAP3/IRF2/IRF7/HPCAL4/KCNIP3/CTSS/IRF1/DUSP6/CTSL/CASP3/CFB/GZMB/C1QA/DUSP5/JAK2/DOCK4/SRC"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,-0.561847285204284,-1.51923931763614,0.0100088695249468,0.045494861477031,0.0344803160668024,1890,"tags=34%, list=11%, signal=31%","RIT1/NOD1/CALR/PLCG1/UBE2D3/GNGT1/DDIT3/RAC1/IL4/DUSP3/TRAF2/DAPP1/MAPK8/GRB2/PDK1/CDKN1B/SLC2A1/EIF4E/MAP3K7/MAPK1/ACTR3/MYD88/FASLG/PTEN/ACTR2/CDKN1A/AKT1/TBK1/SFN/STAT2/RIPK1/YWHAB/HSP90B1/CDK1/EGFR"
