"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",197,0.800271235475642,1.96436428948248,3.12304639641251e-19,1.56152319820625e-17,7.88980142251581e-18,1968,"tags=46%, list=11%, signal=42%","ISG15/OASL/IFIT1/NFKBIA/JAK2/IFIT3/RIGI/DDX60/IFIT2/MX1/IFIH1/XAF1/RNF213/IFI27/UBE2L6/IRF4/IFI35/LGALS3BP/TRIM14/SLAMF7/IRF7/STAT1/LCP2/MYD88/DHX58/RIPK2/IFI44/USP18/SAMD9L/IFI44L/CASP8/PSMB2/PTPN1/MX2/NFKB1/PSMB8/PML/EIF2AK2/IRF1/STAT2/HIF1A/PSMA3/TAP1/PNPT1/TRAFD1/CASP3/HELZ2/LAP3/IRF8/NUP93/B2M/IRF2/IRF5/BATF2/HLA-DRB1/TRIM21/TDRD7/ARL4A/GZMA/CASP7/CASP1/CMTR1/CD40/ISG20/CCL2/SP110/PLSCR1/IFI30/SOCS1/VCAM1/CFB/WARS1/KLRK1/ITGB7/RSAD2/TRIM25/GCH1/VAMP5/ARID5B/ADAR/NOD1/RAPGEF6/NCOA3/PSMB9/BANK1/CMPK2/IFNAR2/SERPING1/PSME2/TRIM26/FGL2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",96,0.840976634416788,1.95872778684043,1.72169396355057e-12,4.30423490887642e-11,2.17477132237967e-11,1928,"tags=60%, list=11%, signal=54%","ISG15/OASL/IFIT3/DDX60/IFIT2/MX1/IFIH1/IFI27/UBE2L6/IFI35/LGALS3BP/TRIM14/IRF7/MOV10/DHX58/RIPK2/IFI44/USP18/SAMD9L/IFI44L/CASP8/SAMD9/PSMB8/EIF2AK2/IFITM1/IRF1/STAT2/PSMA3/TAP1/PNPT1/TRAFD1/HELZ2/LAP3/TRIM5/B2M/IRF2/BATF2/LAMP3/TRIM21/TDRD7/UBA7/CASP1/CMTR1/ISG20/SELL/SP110/PLSCR1/IFI30/WARS1/CNP/RSAD2/CCRL2/TRIM25/ADAR/PSMB9/CMPK2/PSME2/TRIM26"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,0.726040481383312,1.78215576310247,7.7505983917309e-11,1.29176639862182e-09,6.52681969829971e-10,2341,"tags=51%, list=13%, signal=45%","CUL1/CDC20/EZH2/KPNA2/BIRC5/CCNB2/MYC/PLK1/STMN1/CDK1/CDK4/TOP2A/PRC1/AURKA/AURKB/HSPA8/RAD54L/KIF11/MAPK14/BUB1/CUL3/CDKN3/NSD2/CHEK1/CCNF/SMAD3/KIF23/NDC80/MKI67/PML/UBE2C/TPX2/MYBL2/EXO1/KNL1/SMC2/HIF1A/MCM2/XPO1/H2AZ2/CDC6/HMMR/MCM6/CDC27/RAD23B/ATRX/MCM3/PLK4/TMPO/SQLE/PBK/MAD2L1/CDC45/CENPA/PRMT5/UBE2S/KPNB1/BRCA2/NUMA1/ESPL1/CCNA2/RAD21/CENPE/LMNB1/ILF3/HNRNPU/RACGAP1/CDC25A/G3BP1/KATNA1/DDX39A/E2F1/CKS1B/MAP3K20/KIF15/E2F3/BARD1/CDC7/TTK/KMT5A/SAP30/ODF2/CENPF/POLE/SYNCRIP/ARID4A/NOLC1/SMC4/SUV39H1/KIF5B/CDC25B/STIL/NUP98/E2F2/LBR/FOXN3/CCND1/GINS2/KIF2C/RPS6KA5/KIF4A"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,0.720989301471592,1.77599049871593,1.05035146435583e-10,1.31293933044479e-09,6.63379872224734e-10,2230,"tags=35%, list=12%, signal=31%","GSK3B/HSPA5/HSPA4/HSP90B1/LDHA/PSMD14/TUBA4A/PLK1/AURKA/HSPA9/PSMC2/HSPD1/PRDX1/CANX/TBK1/BUB1/EPRS1/CCNF/MCM4/UBE2D3/ENO1/GSR/GAPDH/DDIT3/SLA/PSMA3/MCM2/CYP51A1/ATP2A2/ACTR2/PSMA4/ACSL3/ACTR3/SQLE/RRM2/IDH1/RPA1/GOT1/SCD/SHMT2/STIP1/P4HA1/NIBAN1/RIT1/CALR/NFIL3/NUP205/IFI30/CDC25A/WARS1/DDX39A/ABCF2/CCNG1/PNO1/QDPR/GLRX/DHCR24/ELOVL5/CXCR4/GBE1/FGL2/PPP1R15A/CYB5B/TES/MTHFD2/INSIG1/YKT6/SERPINH1/CCT6A"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.728137434485195,1.79477673283394,1.36088487746823e-10,1.36088487746823e-09,6.87604990720792e-10,2062,"tags=48%, list=11%, signal=43%","CDC20/EZH2/KPNA2/TUBB/BIRC5/CCNB2/MYC/UBE2T/PLK1/STMN1/SPAG5/CDK1/CDK4/TP53/TOP2A/AURKA/TRIP13/AURKB/PCNA/PRKDC/TIMELESS/NME1/DNMT1/CDKN3/BRCA1/CDCA8/CHEK1/RBBP7/BUB1B/CHEK2/MCM4/MKI67/SSRP1/MYBL2/MCM2/PPM1D/XPO1/CIT/HMMR/MCM6/WEE1/MCM3/PLK4/TMPO/RRM2/MCM7/MAD2L1/MELK/CCNE1/UBE2S/RPA1/MSH2/BRCA2/ESPL1/XRCC6/RAD21/CENPE/RFC2/LMNB1/IPO7/ILF3/GINS1/RAD51C/EED/CBX5/EIF2S1/RACGAP1/NUP205/PAICS/CDC25A/SMC3/HMGB2/DDX39A/SMC6/CTPS1/DCTPP1/RAN/CKS1B/AK2/BARD1/NBN/KIF18B/NOP56/ATAD2/LIG1/ASF1A/PRDX4/TCF19/POLE/SYNCRIP/NOLC1/SMC4/SUV39H1/DLGAP5/CDC25B"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,0.66486125513895,1.63773202970009,5.91988942675066e-07,4.93324118895888e-06,2.49258502178975e-06,1429,"tags=37%, list=8%, signal=35%","CUL1/CDC20/YWHAE/KPNA2/DDX21/CCT5/LDHA/PSMD14/MYC/CDK4/PCNA/HSPD1/HSP90AB1/CANX/NME1/EPRS1/PSMB2/VDAC1/HNRNPC/MCM4/SRPK1/MCM2/XPO1/NHP2/TCP1/DDX18/MCM6/EIF4H/RAD23B/PSMA4/PSMD1/EIF4A1/MCM7/MAD2L1/CDC45/HDAC2/PPM1G/KPNB1/CNBP/CCT3/CCT4/CCNA2/XRCC6/GOT2/SF3B3/KARS1/SLC25A3/PHB1/RRM1/HNRNPU/EIF3B/RFC4/EIF2S1/NCBP1/PSMA6/PSMA7/RPS5/PSMD7/CAD/PCBP1/PABPC4/CSTF2/UBA2/EIF4G2/G3BP1/CCT7/RPL18/PWP1/CTPS1/PRDX3/SSBP1/PSMA1/RAN/CCT2"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,0.731525163247749,1.71090511917309,3.97734979989229e-06,2.84096414278021e-05,1.43543451424684e-05,1490,"tags=33%, list=8%, signal=30%","GSK3B/EGFR/MAPK1/YWHAB/HSP90B1/LCK/CDK1/CDK4/PTEN/MYD88/TBK1/RAC1/UBE2D3/RAF1/PTPN11/STAT2/DDIT3/SLA/UBE2N/CLTC/ACTR2/ACTR3/TIAM1/FASLG/RALB/PRKAG1/PLCG1/RIT1/CALR/MAPK8/E2F1/DUSP3/CAMK4/PRKCB"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,0.646807766433575,1.58766930787769,5.71728212131994e-06,3.57330132582496e-05,1.80545751199577e-05,2500,"tags=40%, list=14%, signal=34%","CDC42/YWHAE/PCNT/BIRC5/CCNB2/TUBA4A/PLK1/CDK1/TOP2A/PRC1/AURKA/MAPRE1/TSC1/KIF11/BUB1/ANLN/KIF23/NDC80/TPX2/BCAR1/NEDD9/SYNPO/CDC27/CEP192/EZR/TIAM1/DST/BRCA2/ALMS1/NUMA1/ESPL1/CENPE/SPTAN1/ITSN1/LMNB1/ECT2/CAPZB/WASF1/ROCK1/CKAP5/RASA1/ARHGAP29/DLG1/RACGAP1/ARHGEF3/SMC3/KATNA1/PXN/KIF15/CD2AP/TTK/DYNC1H1/GSN/CSNK1D/RAPGEF6/NIN/LRPPRC/PDLIM5/APC/TUBGCP3/NF1/CENPF/FLNB/ARFGEF1/MYO1E/SMC4/DLGAP5/KIF5B/SSH2/RICTOR/TUBGCP2/ALS2/RAPGEF5/KIF2C/KIF4A/STK38L/CNTRL/ARL8A"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",195,0.642291972170782,1.5777672918293,2.48306229006131e-05,0.00013613466636339,6.8783831425713e-05,2418,"tags=30%, list=13%, signal=26%","ATF3/NFKBIA/RIGI/IRS2/IFIT2/MYC/IFIH1/DUSP5/BIRC3/SIK1/TNF/RIPK2/PMEPA1/EGR2/EGR1/SMAD3/NFKB1/DUSP1/IRF1/REL/TAP1/BCL6/KLF6/ABCA1/SGK1/KLF4/NFKBIE/KDM6B/TLR2/FOS/NR4A1/JAG1/EGR3/OLR1/CCL2/NFIL3/NFKB2/KLF9/CCRL2/NFE2L2/TRAF1/GCH1/CFLAR/CD44/TANK/ICOSLG/ATP2B1/PDLIM5/RELB/MCL1/PPP1R15A/SLC2A6/CCND1/LITAF/PER1/ZBTB10/ETS2/BIRC2/PTPRE"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",196,0.636195772685991,1.56267597369733,2.83990556833341e-05,0.00013613466636339,6.8783831425713e-05,1825,"tags=22%, list=10%, signal=20%","AXL/NFKBIA/LCK/MYC/IRF7/LCP2/RIPK2/MSR1/ACVR1B/NFKB1/EIF2AK2/IFITM1/RAF1/IRF1/HIF1A/ATP2A2/IRAK2/KLF6/ABCA1/HAS2/TLR2/CYBB/CD48/LAMP3/CSF3R/RGS16/CD40/MARCO/RASGRP1/LYN/OLR1/CCL2/SELL/ACVR2A/PSEN1/NDP/CCRL2/LPAR1/GCH1/AQP9/C3AR1/RGS1/ICOSLG/ATP2B1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",197,0.627360589723031,1.53993381799876,2.99496265999459e-05,0.00013613466636339,6.8783831425713e-05,1900,"tags=22%, list=11%, signal=20%","EGFR/HSPA5/ENO2/LDHA/IRS2/STMN1/CDK1/AURKA/KIF20A/AGRN/PPP2CB/ENO1/CYB5A/HMMR/VCAN/GAPDHS/TPST1/IDH1/ALDH7A1/CENPA/GOT1/NSDHL/GOT2/PDK3/P4HA1/TXN/ISG20/MERTK/SDC1/MDH2/LDHC/PKM/TKTL1/SOD1/NT5E/RARS1/POLR3K/CD44/PYGL/PKP2/GLRX/SAP30/CXCR4"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",95,0.694572375152153,1.61547079776862,0.000121575701430268,0.000506565422626118,0.000255948845116354,3549,"tags=51%, list=20%, signal=41%","EGFR/MAPK1/RAB2A/VAMP3/CLTC/ABCA1/DST/ARCN1/ATP1A1/TSG101/SOD1/RAB14/SEC31A/SNX2/ARFGAP3/LAMP2/DNM1L/STAM/STX7/AP3B1/STX12/CLTA/RAB9A/COPB1/NAPA/ARFGEF1/ATP6V1H/LMAN1/YKT6/RPS6KA3/SNAP23/RAB22A/SCRN1/RAB5A/TMED10/AP1G1/GOLGA4/ZW10/VPS4B/CD63/SEC24D/COPB2/STX16/VPS45/USO1/AP2M1/ARFGEF2/CTSC"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",198,0.626754117709483,1.54034220469833,0.000160729102017338,0.000600567815453236,0.000303444790965845,1925,"tags=30%, list=11%, signal=27%","EGFR/JAK2/LCK/IRF4/HLA-DOB/IRF7/TNF/STAT1/LCP2/NME1/RIPK2/CD3D/BRCA1/CD4/HIF1A/UBE2N/TAP1/HCLS1/CD2/ITK/HLA-DMB/IRF8/B2M/HLA-DRA/FASLG/TLR2/RPS19/C2/IL12RB1/GZMA/APBB1/AARS1/CCR1/CD40/LYN/CCL2/ACVR2A/SOCS1/KLRD1/CD40LG/ETS1/DARS1/WARS1/PRKCB/ZAP70/EIF5A/CD79A/RARS1/CD8A/CCR2/EIF3A/MRPL3/CCR5/HLA-DOA/ABCE1/ELANE/ICOSLG/IFNAR2/MMP9"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",197,0.608250498386232,1.49302574567695,0.000168158988326906,0.000600567815453236,0.000303444790965845,1991,"tags=27%, list=11%, signal=24%","HSPA5/JAK2/LCK/SRC/DUSP5/FN1/C1QA/IRF7/LCP2/PPP2CB/S100A12/RAF1/IRF1/CTSL/S100A9/CR2/KCNIP2/CASP3/LAP3/IRF2/ANXA5/C2/GZMA/CASP7/DUSP6/FYN/GNB4/CASP1/CTSB/DYRK2/RASGRP1/LYN/OLR1/PDP1/PSEN1/PLSCR1/F10/CFB/PCSK9/CD40LG/PIK3CG/C1QC/USP14/LAMP2/PRDM4/LIPA/PIK3CA/GNGT2/PSMB9/SERPING1/GNAI3/GZMK/C3"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",198,0.617534365404344,1.51768328122069,0.000342476569269241,0.0011415885642308,0.000576802642979775,3649,"tags=42%, list=20%, signal=34%","IGF1R/TLR7/MYC/IRF4/IL1R2/PRNP/GABARAPL1/HUWE1/CDC6/KLF6/CASP3/IRF8/ABCB1/RHOH/TIAM1/CCNE1/CD48/FLT3LG/ARL4A/BCL2/P4HA1/EOMES/COCH/CD79B/RGS16/CDC42SE2/ENO3/SELL/PLSCR1/NFIL3/SOCS1/BATF3/CDKN1C/NT5E/TGM2/MUC1/SOCS2/HIPK2/BATF/CKAP4/BMPR2/CISH/TRAF1/PRKCH/IKZF2/CD44/IKZF4/ITGAV/LRIG1/NCOA3/PLIN2/MYO1E/FGL2/PLAGL1/AGER/PTCH1/HOPX/CCND2/GSTO1/ITGA6/IL2RA/GATA1/IFNGR1/CAPN3/CTLA4/SWAP70/P2RX4/SELP/SNX9/AHR/POU2F1/HK2/BCL2L1/ALCAM/CCND3/PLPP1/RRAGD/MAP6/PIM1/S100A1/GALM/ITGAE/COL6A1/ANXA4"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",197,0.590494095035931,1.4494404672054,0.000649973908090323,0.00203116846278226,0.00102627459172156,3136,"tags=33%, list=17%, signal=28%","EGFR/HSPA5/ATF3/ENO2/LDHA/IRS2/CAV1/MAP3K1/FOXO3/BGN/DUSP1/ENO1/GAPDH/DDIT3/NR3C1/KLF6/GAPDHS/CCNG2/FOS/S100A4/BCL2/PDK3/P4HA1/RBPJ/TGFB3/ENO3/ISG20/PRKCA/NFIL3/LDHC/ETS1/CDKN1C/TKTL1/ANXA2/TGM2/HK1/GLRX/PYGM/SAP30/CXCR4/PLIN2/GBE1/IDS/PPP1R15A/PGM2/TES/PLAC8/GAA/SIAH2/PGK1/KLF7/ANGPTL4/PFKP/ERO1A/TPST2/VHL/FBP1/ALDOB/NEDD4L/LOX/KIF5A/GPI/ZNF292/ALDOC/HK2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",111,0.618051434030718,1.45864788547633,0.00350665075938946,0.00990274755017841,0.00500349349903751,2888,"tags=37%, list=16%, signal=31%","HSPA5/ATF3/IFIT1/HSP90B1/HSPA9/NHP2/ERN1/ALDH18A1/PDIA6/EIF4A1/TARS1/NFYA/EIF4A2/MTREX/IMP3/SHC1/CALR/EIF2S1/DDX10/CCL2/HYOU1/DNAJC3/CKS1B/SEC31A/EIF4G1/EXOC2/EXOSC9/NOP56/NOLC1/KIF5B/MTHFD2/EIF2AK3/CNOT6/NOP14/EXOSC10/IARS1/EEF2/ERO1A/ATF4/TSPYL2/EIF4A3"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",130,0.604397649014512,1.44218568863678,0.00356498911806423,0.00990274755017841,0.00500349349903751,2588,"tags=32%, list=14%, signal=28%","EZH2/CCNB2/TUBA3C/CDK1/AURKA/PGK2/BUB1/CDKN3/HSPA4L/GFI1/ACTL7B/PEBP1/GAPDHS/MTOR/NCAPH/HSPA1L/SIRT1/ARL4A/SEPTIN4/STAM2/RFC4/LDHC/STRBP/TKTL1/CAMK4/PDHA2/MAP7/TTK/TSSK2/TOPBP1/BRAF/PIAS2/NPHP1/TLE4/PHF7/CCNA1/KIF2C/IDE/DMC1/DCC/DMRT1/PRKAR2A"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",158,0.592942811111626,1.43133265895823,0.00474350620433939,0.0118587655108485,0.00599179731074449,1705,"tags=27%, list=9%, signal=24%","RNASEL/ATF3/ENO2/TOP2A/BIRC3/DNAJA1/CAV1/TNF/BRCA1/CASP8/BGN/IRF1/GSR/DDIT3/TAP1/NEDD9/WEE1/CD2/HGF/CASP3/PPP3R1/FASLG/TGFBR3/CASP7/PTK2/SPTAN1/CASP1/ROCK1/ISG20/EGR3/PSEN1/HMGB2/PAK1/DNAJC3/SOD1/DNM1L/XIAP/GCH1/CFLAR/CD44/CREBBP/GSN"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",198,0.577287577032418,1.41877076516192,0.00455815118724188,0.0118587655108485,0.00599179731074449,3188,"tags=37%, list=18%, signal=31%","LDHA/HSPA9/MRPS11/RHOT1/VDAC1/ATP5F1B/CYB5A/IDH1/AIFM1/UQCRC2/HADHB/NDUFV2/IDH2/SDHA/HADHA/ATP5F1A/CASP7/GOT2/DECR1/SLC25A3/FH/IDH3A/SLC25A5/PDP1/MDH2/TIMM10/PRDX3/NDUFA8/MRPS22/PDHB/NDUFA6/MRPS12/NDUFS1/SDHB/NNT/UQCRFS1/HTRA2/ATP5F1C/GLUD1/ACADM/NDUFB8/LRPPRC/OPA1/OAT/ACADVL/SLC25A4/ATP6V1H/MRPL15/ACAT1/ECHS1/DLAT/ATP6V1C1/COX5A/PDHX/SUCLG1/DLST/ETFA/ACAA2/ACADSB/ATP5PD/ATP6V1E1/ALDH6A1/NDUFS6/TOMM70/NDUFA9/SDHC/NDUFS2/GPI/ATP5MC3/NDUFB5/MGST3/ALAS1/NDUFB6/ATP6V1D"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",156,0.583272469677296,1.4126905027896,0.00639748475525918,0.0152321065601409,0.00769622226196593,2642,"tags=30%, list=15%, signal=26%","ENO2/CBR1/LDHA/UBE2L6/ALDH1A1/YWHAH/CBR3/GABARAPL1/HSD17B11/GAPDHS/IDH1/HADHB/ACOX1/SDHA/NSDHL/DECR1/FH/PTPRG/ENO3/HSDL2/CYP1A1/MDH2/CYP4A22/HSPH1/IL4I1/ACSL5/PDHB/PRDX6/BLVRA/NBN/ACADM/KMT5A/DHCR24/ELOVL5/ACADVL/AOC3/HIBCH/ACSL4/GCDH/MAOA/ECHS1/ADH1C/SUCLG1/DLST/PSME1/ACAA2/ACAT2"
