"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",484,0.599015999221282,1.93601611510058,2.78206631278954e-14,3.07724354857651e-10,2.9592400095514e-10,2442,"tags=39%, list=14%, signal=35%","RPS27A/EIF4A3/RPS12/DDX21/RPS6/GAPDH/RPS3A/HSP90AB1/RPL26/RPL11/DDX56/CDKN2A/HSP90AA1/RPS15A/RPS8/RPL13A/EFL1/RPS7/DDX39B/RPS13/DDX17/RUVBL1/DHX9/RPS27/RPS11/COIL/EPRS1/PA2G4/RPL7/RPL35A/DDX1/RPL24/RPS24/KAT2B/RPS14/DDX31/SF3A1/PRMT5/RPL27/XRCC5/MRTO4/RPL7L1/RPSA/SNRPA1/RPL7A/C1QBP/SF3B1/RPL5/SF3B3/ABCF1/RPS27L/DIS3/DDX28/DDX20/RPS25/KRR1/MTREX/RPS16/LSG1/PRPF3/MRM2/NOP56/RRP1B/SNRPD2/RPLP0/BRIX1/BMS1/SRSF5/NCBP1/DHX29/AAR2/SNRNP35/EIF3E/MRPS2/RIOK1/DICER1/SNU13/RRP8/RPL35/NHP2/SRSF1/UTP14A/NOLC1/HEATR1/IMP3/ISY1/EIF3C/DDX3X/SF3B2/BUD13/XPO1/FTSJ3/SRSF9/DDX23/DDX51/RBM5/RPS19/WDR3/GEMIN5/PWP1/EIF3CL/SNRPE/GTF2H5/EIF3B/SART1/TEX10/ZNF622/PRKDC/REXO4/RPL14/SART3/RPUSD4/SDAD1/RPS23/URB2/CUL4A/NSUN3/RPL26L1/EIF3A/PRKRA/PES1/CINP/FBLL1/ATR/DDX47/WDR46/IMP4/GRWD1/ISG20L2/PRPF19/RPS21/SRPK3/NAT10/SRPK1/NOPCHAP1/DDX54/UTP4/GEMIN2/PDCD7/SYNCRIP/UTP20/EXOSC7/NOB1/SENP3/NOP2/TFB1M/LSM8/NVL/WDR75/MRM3/NOA1/RPS4X/NLE1/RPF2/RBMX2/PRPF6/DKC1/SRFBP1/PRPF8/EIF3H/NIP7/ZNF593/NOP14/USP39/AGO1/SBDS/GNL2/RSL24D1/EXOSC8/RPUSD2/RRP15/RIOK3/SNRPA/SF3B4/AGO3/NOL11/CELF2/TCOF1/EFTUD2/SIRT7/UTP23/MTERF4/NPM1/RPP40/PRPF31/LSM3/PRPF4/MCAT/STRAP/EIF5"
"GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",174,0.720623489162584,2.12364584125861,8.66772832512696e-12,4.79368715021147e-08,4.60986288028463e-08,1585,"tags=44%, list=9%, signal=41%","RPS27A/RPS12/RPS20/RPS18/RPS6/GAPDH/RPS3A/RPL23/RPL26/RPL11/UBA52/RPL31/RPS15A/RPS8/RPL13A/RPS29/RPS7/RPS10/RPS13/EIF4A1/DHX9/RPL17/RPS27/RPS11/EPRS1/PABPC1/PKM/RPL30/RPL39/RPL7/RPL35A/EIF4G1/DHX36/RPL24/RPS24/RPS14/RPL27A/RPL12/RPL27/RPL6/RPSA/RPL7A/RPL34/RPL37/RPL5/RPL36A/RPS3/RPL19/RPL10A/RPS25/RPS16/RPL15/RBM4/EIF2B2/RPLP0/RACK1/RPL32/NCBP1/DHX29/EIF3E/RPL35/EIF3C/RPS19/EIF3CL/EIF3B/RPL14/FTSJ1/NCK1/RPS23/RPL13/RPL26L1/EIF3A/RPS21/RPL37A/PAIP1/SYNCRIP/RPS26"
"GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME",115,0.770196340768425,2.15502248356884,6.46319320012074e-11,2.38297933288452e-07,2.29159885218316e-07,1241,"tags=55%, list=7%, signal=51%","RPS27A/RPS12/RPS20/RPS18/RPS6/UBB/RPS3A/RPL23/RPL26/RPL11/UBA52/RPL31/RPS15A/RPS8/RPL13A/RPS29/RPS7/RPS10/RPS13/RPL17/RPS27/RPS11/RPL30/RPL39/RPL7/RPL35A/GSPT1/RPL24/RPS24/RPS14/RPL27A/RPL12/RPL27/RPL6/RPL7L1/RPSA/EEF1A1/RPL7A/RPL34/RPL37/RPL5/RPL36A/RPS3/RPL19/RPS27L/RPL10A/RPS25/ABCE1/RPS16/RPL15/RPLP0/RACK1/RPL32/EIF2AK4/DHX29/RPL35/DDX3X/RPS19/RPL14/ASCC3/USP10/RPS23/RPL13"
"GOMF_MRNA_BINDING","GOMF_MRNA_BINDING",364,0.584965089203676,1.85796033360124,5.29845056757993e-10,1.46515404320004e-06,1.40896955224724e-06,2021,"tags=30%, list=11%, signal=28%","HNRNPL/EIF4A3/PUM1/DDX21/RPS6/SRSF4/HNRNPAB/RPS3A/RPL26/TP53/HSP90AA1/RPL13A/RPS7/DDX39B/RPS13/DDX17/DDX6/EIF4A1/DHX9/PPIE/STAU1/PABPC1/PKM/EIF4ENIF1/RPL7/EIF4G1/DHX36/RPL24/RPS14/TRA2A/CSTF2/ELAVL1/RBMX/EIF4G2/SLIRP/G3BP2/SRRM4/C1QBP/SF3B1/RPL5/RPS3/CAPRIN1/PABPC1L/TIA1/SECISBP2/DDX20/IREB2/RBMXL1/NUP98/RBM4/CIRBP/MYH10/SRSF5/COPA/PCBP1/LRPPRC/NCBP1/SNRNP35/MRPS7/RPL35/NHP2/SRSF1/SLPI/DDX3X/RC3H1/G3BP1/SRSF9/DDX23/DAZ1/MRPL12/DDX43/RBM5/SCAF8/ZFP36/NYNRIN/GEMIN5/DCP1B/PIWIL1/NXF1/DND1/RBM25/TPR/SECISBP2L/TIAL1/PABPC5/EIF3A/RSL1D1/KHSRP/HDLBP/ZFP36L1/RBM20/AQR/DDX19B/SYNCRIP/RPS26/EXOSC7/PABPC1L2A/LSM8/CPSF6/RBMS2/GNL3/YTHDF1/PABPC4L/SHMT1/DDX19A/ATXN2/DAZAP1/RPL41/MRPL13/PARK7/EXOSC8"
"GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS",321,0.602020114855641,1.88775378545951,9.73156751582905e-10,2.1528173658517e-06,2.07026294205163e-06,2077,"tags=37%, list=12%, signal=33%","RPS27A/EIF4A3/RPS12/DDX21/RPS6/RPS3A/RPL26/RPL11/DDX56/CDKN2A/RPS15A/RPS8/EFL1/RPS7/RPS13/DDX17/RPS27/RPS11/PA2G4/RPL7/RPL35A/RPL24/RPS24/KAT2B/RPS14/DDX31/PRMT5/RPL27/XRCC5/MRTO4/RPL7L1/RPSA/RPL7A/C1QBP/RPL5/ABCF1/RPS27L/DIS3/DDX28/RPS25/KRR1/MTREX/RPS16/LSG1/MRM2/NOP56/RRP1B/RPLP0/BRIX1/BMS1/DHX29/MRPS2/RIOK1/SNU13/RRP8/RPL35/NHP2/UTP14A/NOLC1/HEATR1/IMP3/DDX3X/XPO1/FTSJ3/DDX51/RPS19/WDR3/PWP1/GTF2H5/SART1/TEX10/ZNF622/PRKDC/REXO4/RPL14/RPUSD4/SDAD1/RPS23/URB2/CUL4A/NSUN3/RPL26L1/PES1/CINP/FBLL1/DDX47/WDR46/IMP4/GRWD1/ISG20L2/RPS21/NAT10/DDX54/UTP4/UTP20/EXOSC7/NOB1/SENP3/NOP2/TFB1M/NVL/WDR75/MRM3/NOA1/RPS4X/NLE1/RPF2/DKC1/SRFBP1/NIP7/ZNF593/NOP14/SBDS/GNL2/RSL24D1/EXOSC8/RPUSD2/RRP15/RIOK3"
"GOCC_RIBOSOMAL_SUBUNIT","GOCC_RIBOSOMAL_SUBUNIT",175,0.681464797287355,2.00742148067524,2.78584423499975e-09,5.13570384722204e-06,4.93876420959166e-06,1607,"tags=44%, list=9%, signal=40%","RPS27A/RPS12/RPS20/RPS18/RPS6/RPS3A/RPL23/RPL26/RPL11/UBA52/RPL31/RPS15A/RPS8/RPL13A/RPS29/RPS7/RPS10/RPS13/RPL17/RPS27/RPS11/RPL30/RPL39/RPL7/RPL35A/RPL24/RPS24/RPS14/RPL27A/RPL12/RPL27/RPL6/MRPS5/RPL7L1/RPSA/RPL7A/RPL34/MRPS25/RPL37/RPL5/RPL36A/RPS3/RPL19/RPS27L/RPL10A/RPS25/MRPL3/MRPS27/RPS16/RPL15/RPLP0/MRPL58/RACK1/RPL32/MRPS15/DHX29/MRPS2/MRPS7/RPL35/MRPL17/DDX3X/MRPL30/MRPL12/RPS19/PTCD3/RPL14/MRPL9/DAP3/RPS23/RPL13/RPL26L1/RPS21/RPL37A/MRPL37/RPS26/MRPS34/MRPL47"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",158,0.681297336485774,1.97774622758897,1.35464407733736e-08,2.14053116277551e-05,2.05844787992392e-05,1607,"tags=46%, list=9%, signal=42%","RPS27A/RPS12/RPS20/RPS18/RPS6/UBB/RPS3A/RPL23/RPL26/RPL11/UBA52/RPL31/RPS15A/RPS8/RPL13A/RPS29/RPS7/RPS10/RPS13/RPL17/RPS27/RPS11/RPL30/RPL39/RPL7/RPL35A/RPL24/RPS24/RPS14/RPL27A/RPL12/RPL27/RPL6/MRPS5/RPL7L1/RPSA/RPL7A/RPL34/MRPS25/RPL37/RPL5/RPL36A/RPS3/RPL19/RPS27L/RPL10A/RPS25/MRPL3/RPS16/RPL15/RPLP0/RPL32/MRPS15/MRPS2/MRPS7/RPL35/MRPL17/MRPL30/MRPL12/RPS19/RPL14/MRPL9/DAP3/RPS23/RPL13/RPL26L1/RPS21/RPL37A/MRPL37/RPS26/MRPS34/MRPL47"
"GOCC_RIBOSOME","GOCC_RIBOSOME",223,0.625455466307914,1.89428416883393,3.25544765811612e-08,4.5010633183028e-05,4.32846034016624e-05,1241,"tags=37%, list=7%, signal=35%","RPS27A/RPS12/RPS20/RPS18/RPS6/UBB/RPS3A/RPL23/RPL26/RPL11/UBA52/RPL31/RPS15A/RPS8/RPL13A/RPS29/RPS7/RPS10/RPS13/RPL17/RPS27/RPS11/RPL30/RPL39/RPL7/RPL35A/GSPT1/EIF4G1/RPL24/RPS24/RPS14/RPL27A/RPL12/RPL27/RPL6/MRPS5/RPL7L1/RPSA/EEF1A1/RPL7A/RPL34/MRPS25/RPL37/RPL5/RPL36A/RPS3/RPL19/RPS27L/RPL10A/RPS25/MRPL3/MRPS27/ABCE1/RPS16/RPL15/RRBP1/SNCA/RPLP0/MRPL58/RACK1/RPL32/MRPS15/EIF2AK4/DHX29/MRPS2/MRPS7/RPL35/MRPL17/DDX3X/MRPL30/MRPL12/RPS19/PTCD3/RPL14/NCK1/MRPL9/SRP68/ASCC3/DAP3/USP10/RPS23/RPL13"
"GOBP_CHROMOSOME_LOCALIZATION","GOBP_CHROMOSOME_LOCALIZATION",135,-0.704448575732122,-1.97942445606085,7.75336905871298e-08,9.52889057315825e-05,9.1634847179292e-05,1603,"tags=34%, list=9%, signal=31%","TEX14/BUB3/TERF1/KIF2C/CHMP4C/TTK/DLGAP5/LMNA/NUF2/CENPF/VPS4B/KPNB1/CHMP5/ASB7/RACGAP1/MAPRE1/RRS1/NSL1/ACTR3/SPAG5/HNRNPU/H3-3A/RCC2/CDCA8/ECT2/KIFC1/EML3/GEM/CCNB1/NUMA1/CENPE/DSN1/ACTR2/AURKB/RAB11A/CUL3/NEK2/KNL1/CENPA/H3-3B/BIRC5/NDC80/KIF14/CDC42/H3-7/CDK1"
"GOBP_METAPHASE_CHROMOSOME_ALIGNMENT","GOBP_METAPHASE_CHROMOSOME_ALIGNMENT",114,-0.722842723666214,-1.99155345413528,2.59340050518186e-07,0.000286856029878165,0.000275855916893291,1301,"tags=32%, list=7%, signal=29%","NUF2/CENPF/VPS4B/KPNB1/CHMP5/ASB7/RACGAP1/MAPRE1/RRS1/NSL1/SPAG5/HNRNPU/H3-3A/RCC2/CDCA8/ECT2/KIFC1/EML3/GEM/CCNB1/NUMA1/CENPE/DSN1/AURKB/RAB11A/CUL3/NEK2/KNL1/CENPA/H3-3B/BIRC5/NDC80/KIF14/CDC42/H3-7/CDK1"
