gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
CEACAM1,Technetium Tc-99m arcitumomab,DB00113,other/unknown,0.39539323029827966,8.777288753059764e-11,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CEACAM1,Technetium Tc-99m arcitumomab,DB00113,other/unknown,0.36605007884329854,2.414489718003335e-9,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
NT5C2,ATP,DB00171,NA,-0.36343993950383224,3.1918396638787402e-9,HALLMARK_MYC_TARGETS_V2,DrugBank
NT5C2,Taribavirin,DB06408,NA,-0.36343993950383224,3.1918396638787402e-9,HALLMARK_MYC_TARGETS_V2,DrugBank
CEACAM1,Technetium Tc-99m arcitumomab,DB00113,other/unknown,0.35185151678245125,1.0695931374849549e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
PSMB8,Carfilzomib,DB08889,inhibitor,0.347546596006644,1.6557347567542987e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
PSMB8,MARIZOMIB,CHEMBL371405,20S proteasome inhibitor,0.347546596006644,1.6557347567542987e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
PSMB8,CARFILZOMIB,CHEMBL451887,26S proteasome inhibitor,0.347546596006644,1.6557347567542987e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
PSMB8,OPROZOMIB,CHEMBL2103884,26S proteasome inhibitor,0.347546596006644,1.6557347567542987e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
PSMB8,IXAZOMIB,CHEMBL2141296,26S proteasome inhibitor,0.347546596006644,1.6557347567542987e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
PSMB8,IXAZOMIB CITRATE,CHEMBL3545432,26S proteasome inhibitor,0.347546596006644,1.6557347567542987e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
PSMB8,BORTEZOMIB D-MANNITOL,CHEMBL5315122,26S proteasome inhibitor,0.347546596006644,1.6557347567542987e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
BCL2A1,OBATOCLAX MESYLATE,CHEMBL2107358,Bcl-2-related protein A1 inhibitor,0.34077828470512994,3.248087776152611e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
PSMB8,Carfilzomib,DB08889,inhibitor,0.3367240565515316,4.826179093595149e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,DrugBank
PSMB8,MARIZOMIB,CHEMBL371405,20S proteasome inhibitor,0.3367240565515316,4.826179093595149e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
PSMB8,CARFILZOMIB,CHEMBL451887,26S proteasome inhibitor,0.3367240565515316,4.826179093595149e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
PSMB8,OPROZOMIB,CHEMBL2103884,26S proteasome inhibitor,0.3367240565515316,4.826179093595149e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
PSMB8,IXAZOMIB,CHEMBL2141296,26S proteasome inhibitor,0.3367240565515316,4.826179093595149e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
PSMB8,IXAZOMIB CITRATE,CHEMBL3545432,26S proteasome inhibitor,0.3367240565515316,4.826179093595149e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
PSMB8,BORTEZOMIB D-MANNITOL,CHEMBL5315122,26S proteasome inhibitor,0.3367240565515316,4.826179093595149e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
PHOSPHO1,Choline,DB00122,product of,-0.3362531827925258,5.051470186992286e-8,HALLMARK_HEME_METABOLISM,DrugBank
ISG20,Uridine monophosphate,DB03685,NA,0.33544876984676353,5.459978939003555e-8,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
NT5C2,ATP,DB00171,NA,-0.3304090488054346,8.842942234399895e-8,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,DrugBank
NT5C2,Taribavirin,DB06408,NA,-0.3304090488054346,8.842942234399895e-8,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,DrugBank
CEACAM1,Technetium Tc-99m arcitumomab,DB00113,other/unknown,0.329568438823769,9.575466932305008e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,DrugBank
TLR5,ENTOLIMOD,CHEMBL2108683,Toll-like receptor 5 agonist,0.3277857647666542,1.1326985913075205e-7,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
ISG20,Uridine monophosphate,DB03685,NA,0.3270721291278921,1.211124496755701e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
PSMB8,Carfilzomib,DB08889,inhibitor,0.32617977071443405,1.3165576920692648e-7,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
PSMB8,MARIZOMIB,CHEMBL371405,20S proteasome inhibitor,0.32617977071443405,1.3165576920692648e-7,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
PSMB8,CARFILZOMIB,CHEMBL451887,26S proteasome inhibitor,0.32617977071443405,1.3165576920692648e-7,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
PSMB8,OPROZOMIB,CHEMBL2103884,26S proteasome inhibitor,0.32617977071443405,1.3165576920692648e-7,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
PSMB8,IXAZOMIB,CHEMBL2141296,26S proteasome inhibitor,0.32617977071443405,1.3165576920692648e-7,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
PSMB8,IXAZOMIB CITRATE,CHEMBL3545432,26S proteasome inhibitor,0.32617977071443405,1.3165576920692648e-7,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
PSMB8,BORTEZOMIB D-MANNITOL,CHEMBL5315122,26S proteasome inhibitor,0.32617977071443405,1.3165576920692648e-7,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
PSMB8,Carfilzomib,DB08889,inhibitor,0.3241854241076772,1.585033875246147e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
PSMB8,MARIZOMIB,CHEMBL371405,20S proteasome inhibitor,0.3241854241076772,1.585033875246147e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
PSMB8,CARFILZOMIB,CHEMBL451887,26S proteasome inhibitor,0.3241854241076772,1.585033875246147e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
PSMB8,OPROZOMIB,CHEMBL2103884,26S proteasome inhibitor,0.3241854241076772,1.585033875246147e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
PSMB8,IXAZOMIB,CHEMBL2141296,26S proteasome inhibitor,0.3241854241076772,1.585033875246147e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
PSMB8,IXAZOMIB CITRATE,CHEMBL3545432,26S proteasome inhibitor,0.3241854241076772,1.585033875246147e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
PSMB8,BORTEZOMIB D-MANNITOL,CHEMBL5315122,26S proteasome inhibitor,0.3241854241076772,1.585033875246147e-7,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
