gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
OAS1,Cysteine-S-acetamide,DB02987,NA,0.3711446061296902,2.4942606320458433e-18,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
OAS1,Cysteine-S-acetamide,DB02987,NA,0.35721225619481844,5.266706186625159e-17,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
CMTR1,Ademetionine,DB00118,NA,0.3560784857836527,6.706541276952858e-17,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
OAS1,Cysteine-S-acetamide,DB02987,NA,0.35360603746781705,1.1322155036759803e-16,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CMTR1,Ademetionine,DB00118,NA,0.3487853937281805,3.1020513591806015e-16,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
OAS1,Cysteine-S-acetamide,DB02987,NA,0.3435207803893266,9.144051031545119e-16,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.314650502498656,2.408143336218812e-13,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.314650502498656,2.408143336218812e-13,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
CMTR1,Ademetionine,DB00118,NA,0.304356447478328,1.5265364832415307e-12,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
LY6E,RG-7841,CHEMBL4297935,Lymphocyte antigen 6E binding agent,0.3024132745625281,2.1458705191717823e-12,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
EIF2AK2,Indomethacin,DB00328,inducer,0.2954288828927949,7.147147654799221e-12,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
EIF2AK2,H-89,DB07995,inhibitor,0.2954288828927949,7.147147654799221e-12,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
EIF2AK2,Fostamatinib,DB12010,inhibitor,0.2954288828927949,7.147147654799221e-12,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CMTR1,Ademetionine,DB00118,NA,0.294732134692724,8.044270189714993e-12,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.28945762554541715,1.9486636998924332e-11,HALLMARK_G2M_CHECKPOINT,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.28945762554541715,1.9486636998924332e-11,HALLMARK_G2M_CHECKPOINT,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.28505592700789245,4.021119203226999e-11,HALLMARK_COMPLEMENT,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.28505592700789245,4.021119203226999e-11,HALLMARK_COMPLEMENT,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.2803801665550264,8.561817016874101e-11,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.2803801665550264,8.561817016874101e-11,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
LY6E,RG-7841,CHEMBL4297935,Lymphocyte antigen 6E binding agent,0.27876774215579725,1.1074716815545168e-10,HALLMARK_COMPLEMENT,ChEMBL
EIF2AK2,Indomethacin,DB00328,inducer,0.2762890967670692,1.6395739568568664e-10,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
EIF2AK2,H-89,DB07995,inhibitor,0.2762890967670692,1.6395739568568664e-10,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
EIF2AK2,Fostamatinib,DB12010,inhibitor,0.2762890967670692,1.6395739568568664e-10,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
LY6E,RG-7841,CHEMBL4297935,Lymphocyte antigen 6E binding agent,0.27566764392784354,1.8079500642228432e-10,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
CXCL12,CTCE-0214,DB05934,NA,0.27108145381074955,3.6914755358043237e-10,HALLMARK_ALLOGRAFT_REJECTION,DrugBank
CXCL12,Tinzaparin,DB06822,binder,0.27108145381074955,3.6914755358043237e-10,HALLMARK_ALLOGRAFT_REJECTION,DrugBank
CXCL12,OLAPTESED PEGOL,CHEMBL4594485,Stromal cell-derived factor 1 inhibitor,0.27108145381074955,3.6914755358043237e-10,HALLMARK_ALLOGRAFT_REJECTION,ChEMBL
OAS1,Cysteine-S-acetamide,DB02987,NA,0.2703164043115229,4.1529036435223454e-10,HALLMARK_COMPLEMENT,DrugBank
LY6E,RG-7841,CHEMBL4297935,Lymphocyte antigen 6E binding agent,0.26948006441751376,4.721572417762165e-10,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
LY6E,RG-7841,CHEMBL4297935,Lymphocyte antigen 6E binding agent,0.2677896231091083,6.111608732811686e-10,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.2666577823575908,7.256974459225773e-10,HALLMARK_ALLOGRAFT_REJECTION,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.2666577823575908,7.256974459225773e-10,HALLMARK_ALLOGRAFT_REJECTION,DrugBank
CMTR1,Ademetionine,DB00118,NA,0.2661220940360385,7.869394593696017e-10,HALLMARK_COMPLEMENT,DrugBank
BLK,Fostamatinib,DB12010,inhibitor,0.2653603675145214,8.827536620316244e-10,HALLMARK_IL6_JAK_STAT3_SIGNALING,DrugBank
BLK,Zanubrutinib,DB15035,inhibitor,0.2653603675145214,8.827536620316244e-10,HALLMARK_IL6_JAK_STAT3_SIGNALING,DrugBank
