pathway,symbol,gene,rho,p_val,padj
HALLMARK_INTERFERON_ALPHA_RESPONSE,HERC6,ENSG00000138642,0.45325676755398875,1.4746082300604304e-27,7.5794863025106125e-25
HALLMARK_INTERFERON_GAMMA_RESPONSE,HERC6,ENSG00000138642,0.4491296454503365,4.960506235494524e-27,1.2748501025220927e-24
HALLMARK_INTERFERON_GAMMA_RESPONSE,OAS2,ENSG00000111335,0.42725915694565353,2.345071257246612e-24,4.017888754082529e-22
HALLMARK_INTERFERON_ALPHA_RESPONSE,PNPT1,ENSG00000138035,0.37844380212049017,4.751422654812377e-19,6.105578111433904e-17
HALLMARK_INTERFERON_ALPHA_RESPONSE,DDX60,ENSG00000137628,0.3759988043215309,8.319059771831142e-19,8.551993445442414e-17
HALLMARK_INTERFERON_GAMMA_RESPONSE,USP18,ENSG00000184979,0.3643710729694909,1.1194833545931187e-17,9.590240737681052e-16
HALLMARK_INTERFERON_ALPHA_RESPONSE,USP18,ENSG00000184979,0.362596087690583,1.649488191857416e-17,1.1809369498680334e-15
HALLMARK_INTERFERON_GAMMA_RESPONSE,PNPT1,ENSG00000138035,0.36209846228352366,1.838034163218729e-17,1.1809369498680334e-15
HALLMARK_INTERFERON_GAMMA_RESPONSE,OAS3,ENSG00000111331,0.3581584523233363,4.3015148921356587e-17,2.4566429495085873e-15
HALLMARK_INTERFERON_ALPHA_RESPONSE,PARP12,ENSG00000059378,0.3466236808835587,4.847307470606392e-16,2.4915160398916856e-14
HALLMARK_INTERFERON_ALPHA_RESPONSE,LAMP3,ENSG00000078081,0.3442921258893759,7.814569153862278e-16,3.6515350409865554e-14
HALLMARK_INTERFERON_ALPHA_RESPONSE,OAS1,ENSG00000089127,0.3435207803893266,9.144051031545119e-16,3.916701858511826e-14
HALLMARK_INTERFERON_GAMMA_RESPONSE,DDX60,ENSG00000137628,0.3404931062414268,1.6871042859473276e-15,6.670550792130204e-14
HALLMARK_INFLAMMATORY_RESPONSE,LAMP3,ENSG00000078081,0.3386579494893169,2.437602498385353e-15,8.949483458357653e-14
HALLMARK_INTERFERON_GAMMA_RESPONSE,PARP12,ENSG00000059378,0.3383076158094799,2.6142813002009e-15,8.958270588688418e-14
HALLMARK_INFLAMMATORY_RESPONSE,RTP4,ENSG00000136514,0.32682742979967544,2.466124791443168e-14,7.922425892511177e-13
HALLMARK_INTERFERON_GAMMA_RESPONSE,IFI44L,ENSG00000137959,0.32492312659696193,3.5461306684738655e-14,1.0721830374091569e-12
HALLMARK_INTERFERON_ALPHA_RESPONSE,IFI44L,ENSG00000137959,0.32445160339556856,3.87829931192203e-14,1.1074699146266243e-12
HALLMARK_INTERFERON_ALPHA_RESPONSE,CMPK2,ENSG00000134326,0.31762255913094883,1.394000268870351e-13,3.771137569470319e-12
HALLMARK_INTERFERON_GAMMA_RESPONSE,CMPK2,ENSG00000134326,0.31714822828342243,1.5217102335411446e-13,3.910795300200741e-12
HALLMARK_INTERFERON_ALPHA_RESPONSE,IFI44,ENSG00000137965,0.31032027739480733,5.282956150546448e-13,1.2930664101813687e-11
HALLMARK_INTERFERON_ALPHA_RESPONSE,SAMD9,ENSG00000205413,0.30764727730554375,8.525446546857357e-13,1.9918543295839462e-11
HALLMARK_INTERFERON_GAMMA_RESPONSE,CMTR1,ENSG00000137200,0.304356447478328,1.5265364832415307e-12,3.411477184287595e-11
HALLMARK_INFLAMMATORY_RESPONSE,LY6E,ENSG00000160932,0.3024132745625281,2.1458705191717823e-12,4.5957393618929004e-11
HALLMARK_INTERFERON_GAMMA_RESPONSE,IFI44,ENSG00000137965,0.30186532684387984,2.361071181160716e-12,4.854362348466432e-11
HALLMARK_INTERFERON_GAMMA_RESPONSE,ZBP1,ENSG00000124256,0.30078333448346467,2.8497739940861725e-12,5.633783972924203e-11
HALLMARK_INTERFERON_ALPHA_RESPONSE,RTP4,ENSG00000136514,0.30015208164098306,3.1792099652205455e-12,6.052273785642076e-11
HALLMARK_INTERFERON_GAMMA_RESPONSE,RTP4,ENSG00000136514,0.29946336902672777,3.581134147435182e-12,6.573939113506013e-11
HALLMARK_INTERFERON_ALPHA_RESPONSE,EIF2AK2,ENSG00000055332,0.2954288828927949,7.147147654799221e-12,1.2667703084713102e-10
HALLMARK_INTERFERON_ALPHA_RESPONSE,CMTR1,ENSG00000137200,0.294732134692724,8.044270189714993e-12,1.3782516258378353e-10
HALLMARK_INTERFERON_ALPHA_RESPONSE,TRIM5,ENSG00000132256,0.2901495749235157,1.736922303548481e-11,2.8799292387868364e-10
HALLMARK_INTERFERON_GAMMA_RESPONSE,EPSTI1,ENSG00000133106,0.28792389597614076,2.511784689493532e-11,4.0345541574989854e-10
HALLMARK_INTERFERON_ALPHA_RESPONSE,IFIH1,ENSG00000115267,0.2866295955129145,3.108128281243529e-11,4.841145262300527e-10
HALLMARK_INTERFERON_ALPHA_RESPONSE,EPSTI1,ENSG00000133106,0.2857197972947832,3.607844348459877e-11,5.454211750318755e-10
HALLMARK_INTERFERON_ALPHA_RESPONSE,RSAD2,ENSG00000134321,0.2818832676756881,6.72547713212945e-11,9.87684355975582e-10
HALLMARK_INTERFERON_ALPHA_RESPONSE,PARP14,ENSG00000173193,0.2807564359940399,8.060835337846623e-11,1.1509081565703235e-9
HALLMARK_INTERFERON_GAMMA_RESPONSE,RSAD2,ENSG00000134321,0.277407510288916,1.374216754062996e-10,1.909047058346973e-9
HALLMARK_INTERFERON_GAMMA_RESPONSE,EIF2AK2,ENSG00000055332,0.2762890967670692,1.6395739568568664e-10,2.2177395100642876e-9
HALLMARK_INTERFERON_GAMMA_RESPONSE,LY6E,ENSG00000160932,0.27566764392784354,1.8079500642228432e-10,2.3827854692577982e-9
HALLMARK_INTERFERON_ALPHA_RESPONSE,LY6E,ENSG00000160932,0.26948006441751376,4.721572417762165e-10,6.067220556824381e-9
HALLMARK_INTERFERON_GAMMA_RESPONSE,PARP14,ENSG00000173193,0.2630987212378992,1.2389802311400096e-9,1.5532581434291828e-8
HALLMARK_INFLAMMATORY_RESPONSE,EIF2AK2,ENSG00000055332,0.25734193817169077,2.8945197053146763e-9,3.542340782218437e-8
HALLMARK_INTERFERON_GAMMA_RESPONSE,TOR1B,ENSG00000136816,0.2571575937998862,2.9732393577268986e-9,3.554058209003781e-8
HALLMARK_INTERFERON_GAMMA_RESPONSE,IFIH1,ENSG00000115267,0.25498344765813913,4.073644513834039e-9,4.758757454797036e-8
HALLMARK_INTERFERON_GAMMA_RESPONSE,MX1,ENSG00000157601,0.2530038060527182,5.4125898843247365e-9,6.182380445650922e-8
HALLMARK_INFLAMMATORY_RESPONSE,CXCL11,ENSG00000169248,0.2505928625709642,7.626234338601857e-9,8.521487934872512e-8
HALLMARK_INTERFERON_ALPHA_RESPONSE,PLSCR1,ENSG00000188313,0.2503636346975367,7.877484116532972e-9,8.614950714676483e-8
HALLMARK_INTERFERON_GAMMA_RESPONSE,DHX58,ENSG00000108771,0.24820470971280384,1.0673096019248822e-8,1.1429106987278947e-7
HALLMARK_INFLAMMATORY_RESPONSE,CCL2,ENSG00000108691,0.24727617559303433,1.2151851488577095e-8,1.2747044214548217e-7
HALLMARK_INTERFERON_GAMMA_RESPONSE,XAF1,ENSG00000132530,0.24503372129814358,1.6588231512926923e-8,1.7052701995288876e-7
HALLMARK_INTERFERON_GAMMA_RESPONSE,CCL2,ENSG00000108691,0.24347967646959767,2.054432543499574e-8,2.0705457399191786e-7
HALLMARK_INTERFERON_GAMMA_RESPONSE,IRF7,ENSG00000185507,0.23995394093047603,3.319712000121106e-8,3.2470947833847284e-7
HALLMARK_ALLOGRAFT_REJECTION,CXCL13,ENSG00000156234,0.2398907228816294,3.3481716638013734e-8,3.2470947833847284e-7
HALLMARK_INTERFERON_GAMMA_RESPONSE,CCL7,ENSG00000108688,0.23964326710955466,3.4618585699340415e-8,3.295176490640921e-7
HALLMARK_ALLOGRAFT_REJECTION,CCL7,ENSG00000108688,0.23919790954057985,3.675940249321786e-8,3.4353332511843606e-7
HALLMARK_INTERFERON_ALPHA_RESPONSE,MX1,ENSG00000157601,0.23710757475903457,4.8639854866976845e-8,4.464443821718946e-7
HALLMARK_INTERFERON_ALPHA_RESPONSE,TDRD7,ENSG00000196116,0.23538234259245086,6.116756143450077e-8,5.51581168023393e-7
HALLMARK_INTERFERON_ALPHA_RESPONSE,TRIM14,ENSG00000106785,0.23458036433078802,6.800264558516646e-8,6.026441350133719e-7
HALLMARK_INTERFERON_GAMMA_RESPONSE,ISG15,ENSG00000187608,0.23294785624162456,8.426769696679313e-8,7.241254979720923e-7
