"pathway","diff_score","AveExpr","t_stat","p_val","padj","B"
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",-0.0140239144133462,0.424031536671606,-17.222761119112,2.48200442207809e-44,2.77339174123006e-40,88.4808893274933
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION",-0.0243896267121732,0.458351374724933,-16.8608888272888,4.32968479753752e-43,2.41899489638421e-39,85.6203873900553
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS",-0.0167921532450608,0.430310442456417,-16.2123286447588,7.34928840063859e-41,2.73736495295785e-37,80.4844954143284
"GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION",-0.0147909623964434,0.4549003802021,-15.9688765774125,5.06054507861899e-40,1.34968069464083e-36,78.5548127412854
"GOBP_VIRAL_GENOME_REPLICATION",-0.0107573944230571,0.425763794971571,-15.9465694167485,6.03938023376067e-40,1.34968069464083e-36,78.3779757070847
"GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY",-0.0284458961928923,0.483693337907505,-15.1800680206214,2.62951105941449e-37,4.54133327603305e-34,72.3025789571716
"GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE",-0.0128229392318209,0.434669832339953,-15.1701309998403,2.84493761698867e-37,4.54133327603305e-34,72.2238628388399
"GOBP_POSITIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY",-0.0213899217038559,0.431729893492755,-15.1525445013454,3.27034840037109e-37,4.56785912821832e-34,72.084556476069
"GOBP_REGULATION_OF_VIRAL_PROCESS",-0.0104806415037191,0.431574328584416,-15.0860187443143,5.54001214331544e-37,6.87823285437853e-34,71.557654023992
"GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY",-0.0138675344700361,0.360859487105337,-14.8722240896948,3.01235087703221e-36,3.3660008699958e-33,69.865114295426
"GOBP_DEFENSE_RESPONSE_TO_VIRUS",-0.009300713307412,0.3842029027717,-14.7558923820206,7.56548678097768e-36,7.68515902642224e-33,68.9447451867873
"GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY",-0.0106759153373709,0.359597216935084,-14.4240864492429,1.04334383949602e-34,9.71527005210708e-32,66.3225421287489
"GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY",-0.0148755194973478,0.456137880068107,-14.3159281822395,2.45170884145999e-34,2.10733804572876e-31,65.4688927201668
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY",-0.0192645691545913,0.474573203181231,-13.9082651361539,6.10319723551168e-33,4.87122327925768e-30,62.2574875910133
"GOBP_RESPONSE_TO_VIRUS",-0.00759121630780793,0.384262116168219,-13.5662392856309,8.97928970832725e-32,6.68897221338991e-29,59.5721937721068
"GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION",-0.0115590976408132,0.468909002769976,-13.316118262956,6.37665944526656e-31,4.45329954008804e-28,57.614806812492
"GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY",-0.00967753301602836,0.46121700316006,-13.0613413717404,4.66866925495995e-30,3.06868883852485e-27,55.6273675625309
"GOBP_RIG_I_SIGNALING_PATHWAY",-0.00997340676970451,0.47481067741111,-12.9096728298996,1.52230325261762e-29,9.45012030263849e-27,54.4476411128101
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS",-0.00634154066244251,0.272562126893843,-12.6797700935518,9.08672785844953e-29,5.34395247843764e-26,52.664695048035
