"pathway","diff_score","AveExpr","t_stat","p_val","padj","B"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0645323756883593,0.964292363543524,20.2190685350443,1.83411311071474e-67,9.17056555357372e-66,141.574726306078
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0407190476419896,0.936667492827034,19.2987523757671,6.02513532152276e-63,1.50628383038069e-61,131.18251563615
"HALLMARK_INFLAMMATORY_RESPONSE",0.012745720551497,0.691912593889472,12.9636020855005,1.72642460085379e-33,2.87737433475632e-32,63.4955366305503
"HALLMARK_COMPLEMENT",0.00847230002569577,0.773943043167849,11.232526555783,2.35839531305774e-26,2.94799414132217e-25,47.1453414315981
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00916711774518619,0.759733827624777,8.62975597751855,7.55823632857691e-17,7.55823632857691e-16,25.4338824066772
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00793989445097654,0.776119505957239,7.6153759092138,1.25414206382708e-13,1.04511838652256e-12,18.1135831709558
"HALLMARK_APOPTOSIS",0.00489456406106392,0.808402530342502,7.16918234741376,2.61222385890524e-12,1.86587418493231e-11,15.1243026162484
"HALLMARK_KRAS_SIGNALING_DN",0.00337823053908082,0.180743516900803,6.71994566842651,4.79935430348428e-11,2.99959643967767e-10,12.2649051028243
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00596546248854024,0.69545538630065,6.17722458019662,1.31948932298966e-09,7.33049623883145e-09,9.01928084755675
"HALLMARK_XENOBIOTIC_METABOLISM",0.00498294510396635,0.555624867286734,5.5578593852689,4.3741618051917e-08,2.18708090259585e-07,5.60557132396608
"HALLMARK_APICAL_SURFACE",-0.00510470527256635,0.53762536927846,-5.3557433927815,1.28276667698112e-07,5.83075762264145e-07,4.56062893373592
"HALLMARK_G2M_CHECKPOINT",0.00660832423982183,0.753011731552946,5.15222445856541,3.66429002409638e-07,1.52678751004016e-06,3.54351211508591
"HALLMARK_MITOTIC_SPINDLE",0.00381526950156563,0.81946211120795,4.54695630913872,6.78164830150013e-06,2.60832626980774e-05,0.730770718700242
"HALLMARK_BILE_ACID_METABOLISM",-0.00200429555067483,0.501594802838643,-4.51103528436328,7.98620409211074e-06,2.84472225921711e-05,0.573983017007066
"HALLMARK_ALLOGRAFT_REJECTION",0.00278475376055154,0.845659717738453,4.49638598578124,8.53416677765133e-06,2.84472225921711e-05,0.510371916128376
"HALLMARK_HEDGEHOG_SIGNALING",-0.0042953882934238,0.518144385182298,-4.31723927869139,1.89318153621712e-05,5.91619230067848e-05,-0.252004282333928
"HALLMARK_NOTCH_SIGNALING",0.00406505432884308,0.675778035107479,4.2907971548318,2.12451085691894e-05,6.24856134387923e-05,-0.362091227216476
"HALLMARK_KRAS_SIGNALING_UP",0.00312425445884557,0.561485186443637,3.80220097499067,0.000160470287955183,0.000445750799875509,-2.28204547127567
"HALLMARK_COAGULATION",0.00473722461818282,0.433417103158664,3.72919288638938,0.000213260186948094,0.000561211018284459,-2.55015221704031
"HALLMARK_ANDROGEN_RESPONSE",-0.00402168096785438,0.783311214068049,-3.68878767668276,0.000249116515560993,0.000622791288902481,-2.69641399710864
"HALLMARK_E2F_TARGETS",0.00535863673659365,0.734216174423532,3.52748737412893,0.000456758077794006,0.00108751923284287,-3.26520630052672
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.00379190911021754,0.697006409830675,-3.4237123016037,0.000666596425531461,0.00151499187620787,-3.61833171121108
"HALLMARK_P53_PATHWAY",0.00228412714110005,0.744028791567773,3.15310616595165,0.00170896326483387,0.00371513753224754,-4.49161403874487
